VB, IT, IB, IC, VT, beta, Rpt100
 0.86, 0.001, 4.1156100000000003E-10, 1.897E-09, 0.0203925, 4.60928027679979, 20.3925
 0.86270000000000013, 0.001, 5.09089E-10, 2.3370000000000005E-09, 0.020394000000000002, 4.5905529288592, 20.394000000000002
 0.86540000000000006, 0.001, 6.1848E-10, 2.7170000000000004E-09, 0.020393500000000002, 4.39302806881387, 20.393500000000003
 0.8681, 0.001, 7.6459200000000006E-10, 3.176E-09, 0.020393500000000002, 4.15384937326051, 20.393500000000003
 0.8708, 0.001, 9.2382500000000006E-10, 3.9200000000000005E-09, 0.020392999999999998, 4.24322788406895, 20.393
 0.87360000000000015, 0.001, 1.1489E-09, 5.195E-09, 0.020394000000000002, 4.52171642440595, 20.394000000000002
 0.87630000000000008, 0.001, 1.42647E-09, 6.9840000000000007E-09, 0.0203965, 4.89600201896991, 20.3965
 0.879, 0.001, 1.7645300000000001E-09, 9.774E-09, 0.0203925, 5.53915206882286, 20.3925
 0.8817, 0.001, 2.18964E-09, 1.3768000000000001E-08, 0.020395500000000004, 6.28779160044574, 20.395500000000002
 0.8844, 0.001, 2.7207100000000002E-09, 1.9515E-08, 0.020392999999999998, 7.17276005160418, 20.393
 0.88710000000000011, 0.001, 3.3694700000000004E-09, 2.7980999999999998E-08, 0.020395500000000004, 8.30427337237013, 20.395500000000002
 0.8898, 0.001, 4.16425E-09, 4.0400000000000004E-08, 0.020397, 9.7016269436273, 20.397
 0.89250000000000007, 0.001, 5.1024200000000007E-09, 5.8620000000000005E-08, 0.020391, 11.488666162330802, 20.391
 0.8953, 0.001, 6.32764E-09, 8.5839999999999993E-08, 0.020392, 13.565879221953201, 20.392000000000003
 0.89800000000000013, 0.001, 7.78904E-09, 1.2496599999999998E-07, 0.0203925, 16.0438256832678, 20.3925
 0.90070000000000006, 0.001, 9.60942E-09, 1.81935E-07, 0.020397, 18.9329845089506, 20.397
 0.90340000000000009, 0.001, 1.1696100000000001E-08, 2.66386E-07, 0.0203995, 22.7756260633886, 20.399500000000003
 0.9061, 0.001, 1.4070000000000001E-08, 3.8760599999999996E-07, 0.0203995, 27.548400852878498, 20.399500000000003
 0.90879999999999994, 0.001, 1.74989E-08, 5.5944799999999994E-07, 0.020397, 31.9704667150507, 20.397
 0.91150000000000009, 0.001, 2.1324600000000002E-08, 8.14001E-07, 0.020401, 38.1719235061853, 20.400999999999996
 0.9142, 0.001, 2.59374E-08, 1.1842999999999998E-06, 0.020392, 45.659935074448505, 20.392000000000003
 0.9169, 0.001, 3.2204E-08, 1.7232899999999998E-06, 0.020390500000000002, 53.5116755682524, 20.3905
 0.9197, 0.001, 4.02831E-08, 2.5511499999999997E-06, 0.020392999999999998, 63.3305281867582, 20.393
 0.92240000000000011, 0.001, 4.89823E-08, 3.7003400000000002E-06, 0.020394000000000002, 75.5444313558163, 20.394000000000002
 0.9251, 0.001, 6.04049E-08, 5.28535E-06, 0.020395, 87.4986962978169, 20.395
 0.92780000000000007, 0.001, 7.4208E-08, 7.62729E-06, 0.020395500000000004, 102.78258408796901, 20.395500000000002
 0.9305, 0.001, 9.1885999999999993E-08, 1.0961490000000001E-05, 0.020395, 119.294451820734, 20.395
 0.93320000000000014, 0.001, 1.13399E-07, 1.5725000000000003E-05, 0.0203965, 138.669653171545, 20.3965
 0.93590000000000007, 0.001, 1.40831E-07, 2.2502100000000003E-05, 0.020398, 159.780872109124, 20.398
 0.9386, 0.001, 1.75704E-07, 3.207E-05, 0.020398, 182.522879388062, 20.398
 0.9414, 0.001, 2.21279E-07, 4.64366E-05, 0.0203965, 209.855431378486, 20.3965
 0.94410000000000016, 0.001, 2.75758E-07, 6.56173E-05, 0.020395, 237.952480073108, 20.395
 0.94680000000000009, 0.001, 3.41494E-07, 9.2287700000000014E-05, 0.0203965, 270.246915026326, 20.3965
 0.9495, 0.001, 4.2423799999999994E-07, 0.000129321, 0.020395500000000004, 304.83125038304, 20.395500000000002
 0.9522, 0.001, 5.29356E-07, 0.000180266, 0.020404000000000002, 340.538314480236, 20.404
 0.9549, 0.001, 6.5839E-07, 0.00024986, 0.020401500000000003, 379.50151126232197, 20.401500000000002
 0.95760000000000012, 0.001, 8.13758E-07, 0.00034141499999999997, 0.020407, 419.55347904413804, 20.407000000000004
 0.9603, 0.001, 1.0002649999999999E-06, 0.000467542, 0.0204005, 467.418134194439, 20.4005
 0.96310000000000007, 0.001, 1.23081E-06, 0.000647034, 0.0204025, 525.697711263314, 20.4025
 0.9658, 0.001, 1.52294E-06, 0.00087429400000000018, 0.020407500000000002, 574.083023625356, 20.4075
 0.96850000000000014, 0.001, 1.86311E-06, 0.00117247, 0.02041, 629.307985035773, 20.41
 0.97120000000000006, 0.001, 2.27415E-06, 0.00155904, 0.020418500000000003, 685.548446672383, 20.4185
 0.9739000000000001, 0.001, 2.77565E-06, 0.00205682, 0.020429, 741.022823482788, 20.429
 0.9766, 0.001, 3.34051E-06, 0.00268639, 0.0204375, 804.1855884281141, 20.4375
 0.9793, 0.001, 4.00666E-06, 0.0034743200000000004, 0.020448, 867.136218196703, 20.448
 0.9820000000000001, 0.001, 4.7714199999999995E-06, 0.00444494, 0.02046, 931.575924986692, 20.459999999999997
 0.9847, 0.001, 5.63589E-06, 0.00562639, 0.0204785, 998.314374482114, 20.4785
 0.9875, 0.001, 6.63764E-06, 0.00708136, 0.020498500000000003, 1066.84906081077, 20.4985
 0.9902, 0.001, 7.73073E-06, 0.0087608599999999988, 0.0205235, 1133.2513229669098, 20.523500000000002
 0.99290000000000012, 0.001, 8.9288599999999991E-06, 0.01070619, 0.020555, 1199.0545265577, 20.555
 0.9956, 0.001, 1.01868E-05, 0.0129031, 0.020593499999999997, 1266.64899674088, 20.5935
 0.99830000000000008, 0.001, 1.15759E-05, 0.015411, 0.020631, 1331.30037405299, 20.631
 1.001, 0.001, 1.30532E-05, 0.0181988, 0.020673499999999997, 1394.20218796923, 20.673499999999997
 1.0037, 0.001, 1.4652300000000002E-05, 0.0212823, 0.0207205, 1452.48868778281, 20.7205
 1.0064, 0.001, 1.62867E-05, 0.0246321, 0.020771, 1512.4058280683, 20.771
 1.0092, 0.001, 1.80754E-05, 0.0283208, 0.0208215, 1566.8145656527702, 20.8215
 1.0119, 0.001, 1.98731E-05, 0.0321589, 0.020880000000000003, 1618.21255868486, 20.880000000000003
 1.0146, 0.001, 2.1731300000000003E-05, 0.0362424, 0.020938500000000002, 1667.7511239548499, 20.9385
 1.0173, 0.001, 2.36691E-05, 0.040559200000000004, 0.021001, 1713.59282777968, 21.000999999999998
 1.02, 0.001, 2.5665800000000004E-05, 0.045030400000000005, 0.0210685, 1754.49041136454, 21.0685
 1.02, 0.001, 2.5747900000000005E-05, 0.0452182, 0.0210735, 1756.18982518963, 21.0735
 1.0173, 0.001, 2.38674E-05, 0.041113000000000004, 0.02101, 1722.55880405909, 21.009999999999998
 1.0146, 0.001, 2.2020300000000003E-05, 0.037089500000000004, 0.0209535, 1684.33218439349, 20.9535
 1.0119, 0.001, 2.02392E-05, 0.0332171, 0.020895, 1641.2259377841, 20.895000000000003
 1.0092, 0.001, 1.85135E-05, 0.0294841, 0.02084, 1592.57298727955, 20.84
 1.0064, 0.001, 1.67761E-05, 0.0258479, 0.020787, 1540.75738699698, 20.787
 1.0037, 0.001, 1.5154700000000003E-05, 0.0225143, 0.020735, 1485.63152025444, 20.735
 1.001, 0.001, 1.35469E-05, 0.019407399999999998, 0.020692, 1432.60819818556, 20.692
 0.99830000000000008, 0.001, 1.20447E-05, 0.0165361, 0.020653, 1372.89430205817, 20.653000000000002
 0.9956, 0.001, 1.06233E-05, 0.0139139, 0.020609000000000002, 1309.75308990615, 20.609
 0.99290000000000012, 0.001, 9.2833799999999985E-06, 0.0115597, 0.0205695, 1245.2037943076798, 20.5695
 0.9902, 0.001, 8.05071E-06, 0.00947943, 0.020531, 1177.4650931408498, 20.531000000000002
 0.9875, 0.001, 6.92576E-06, 0.00767501, 0.020506000000000003, 1108.18307304902, 20.506
 0.9847, 0.001, 5.8667999999999995E-06, 0.0060963300000000005, 0.020477, 1039.12354264676, 20.476999999999997
 0.9820000000000001, 0.001, 4.95903E-06, 0.00481075, 0.020461, 970.09899113334711, 20.461
 0.9793, 0.001, 4.14818E-06, 0.00375179, 0.020446, 904.44243017419694, 20.445999999999998
 0.9766, 0.001, 3.4528099999999996E-06, 0.00289086, 0.020433, 837.248501944793, 20.433
 0.9739000000000001, 0.001, 2.84836E-06, 0.00220481, 0.020421, 774.062969568454, 20.421
 0.97120000000000006, 0.001, 2.34417E-06, 0.00166547, 0.020413, 710.473216532931, 20.413
 0.96850000000000014, 0.001, 1.91395E-06, 0.00124617, 0.0204115, 651.098513545286, 20.4115
 0.9658, 0.001, 1.5580099999999998E-06, 0.00092432700000000007, 0.020404000000000002, 593.27411248965007, 20.404
 0.96310000000000007, 0.001, 1.26136E-06, 0.000681128, 0.020402999999999998, 539.994926111499, 20.403
 0.9603, 0.001, 1.00731E-06, 0.00049018, 0.020402, 486.62278742393096, 20.402
 0.95760000000000012, 0.001, 8.10249E-07, 0.000356126, 0.020406499999999998, 439.52661465796297, 20.406499999999998
 0.9549, 0.001, 6.58077E-07, 0.000259754, 0.0204035, 394.71672767776397, 20.4035
 0.9522, 0.001, 5.25432E-07, 0.000186563, 0.020402, 355.065926704122, 20.402
 0.9495, 0.001, 4.2157099999999996E-07, 0.000133451, 0.020397, 316.556404496514, 20.397
 0.94680000000000009, 0.001, 3.37747E-07, 9.4837000000000014E-05, 0.020401, 280.79301962711696, 20.400999999999996
 0.94410000000000016, 0.001, 2.6901099999999997E-07, 6.72344E-05, 0.020397500000000002, 249.931787175989, 20.3975
 0.9414, 0.001, 2.1567199999999997E-07, 4.7431400000000008E-05, 0.020395, 219.923773136986, 20.395
 0.9386, 0.001, 1.70432E-07, 3.2719800000000005E-05, 0.0203945, 191.981552760045, 20.3945
 0.93590000000000007, 0.001, 1.3698699999999998E-07, 2.2875800000000002E-05, 0.020395, 166.99248833831, 20.395
 0.93320000000000014, 0.001, 1.0933600000000001E-07, 1.59655E-05, 0.020397, 146.022353113339, 20.397
 0.9305, 0.001, 8.8440100000000009E-08, 1.10987E-05, 0.020397, 125.49397841024602, 20.397
 0.92780000000000007, 0.001, 7.07097E-08, 7.71437E-06, 0.0203985, 109.099175926358, 20.3985
 0.9251, 0.001, 5.71426E-08, 5.34264E-06, 0.0203985, 93.4966207347933, 20.3985
