Rptat2 ,input noise; V / sqrt(Hz) (V / sqrt(Hz)),input noise; V / sqrt(Hz) (V / sqrt(Hz)),input noise; V / sqrt(Hz) (V / sqrt(Hz)),input noise; V / sqrt(Hz) (V / sqrt(Hz))
9.33254E3,5.46270E-9,4.90159E-9,4.85424E-9,4.85046E-9
9.12011E3,5.41563E-9,4.84808E-9,4.80012E-9,4.79629E-9
8.91251E3,5.36925E-9,4.79519E-9,4.74661E-9,4.74273E-9
8.70964E3,5.32354E-9,4.74291E-9,4.69372E-9,4.68979E-9
8.51138E3,5.27851E-9,4.69125E-9,4.64142E-9,4.63744E-9
8.31764E3,5.23414E-9,4.64019E-9,4.58971E-9,4.58568E-9
8.12831E3,5.19043E-9,4.58972E-9,4.53860E-9,4.53451E-9
7.94328E3,5.14737E-9,4.53984E-9,4.48806E-9,4.48392E-9
7.76247E3,5.10496E-9,4.49054E-9,4.43809E-9,4.43390E-9
7.58578E3,5.06319E-9,4.44182E-9,4.38870E-9,4.38445E-9
7.41310E3,5.02205E-9,4.39367E-9,4.33986E-9,4.33555E-9
7.24436E3,4.98153E-9,4.34608E-9,4.29157E-9,4.28721E-9
7.07946E3,4.94164E-9,4.29905E-9,4.24384E-9,4.23942E-9
6.91831E3,4.90236E-9,4.25257E-9,4.19664E-9,4.19217E-9
6.76083E3,4.86370E-9,4.20663E-9,4.14998E-9,4.14545E-9
6.60693E3,4.82563E-9,4.16123E-9,4.10385E-9,4.09925E-9
6.45654E3,4.78817E-9,4.11636E-9,4.05824E-9,4.05358E-9
6.30957E3,4.75129E-9,4.07202E-9,4.01314E-9,4.00843E-9
6.16595E3,4.71500E-9,4.02821E-9,3.96856E-9,3.96378E-9
6.02560E3,4.67929E-9,3.98490E-9,3.92448E-9,3.91964E-9
5.88844E3,4.64416E-9,3.94211E-9,3.88090E-9,3.87600E-9
5.75440E3,4.60960E-9,3.89982E-9,3.83782E-9,3.83285E-9
5.62341E3,4.57560E-9,3.85803E-9,3.79522E-9,3.79019E-9
5.49541E3,4.54216E-9,3.81673E-9,3.75310E-9,3.74800E-9
5.37032E3,4.50927E-9,3.77592E-9,3.71146E-9,3.70629E-9
5.24807E3,4.47693E-9,3.73559E-9,3.67029E-9,3.66506E-9
5.12861E3,4.44514E-9,3.69574E-9,3.62959E-9,3.62428E-9
5.01187E3,4.41388E-9,3.65637E-9,3.58935E-9,3.58397E-9
4.89779E3,4.38316E-9,3.61746E-9,3.54956E-9,3.54411E-9
4.78630E3,4.35296E-9,3.57901E-9,3.51022E-9,3.50470E-9
4.67735E3,4.32329E-9,3.54101E-9,3.47133E-9,3.46573E-9
4.57088E3,4.29414E-9,3.50347E-9,3.43287E-9,3.42720E-9
4.46684E3,4.26550E-9,3.46638E-9,3.39485E-9,3.38910E-9
4.36516E3,4.23737E-9,3.42973E-9,3.35726E-9,3.35144E-9
4.26580E3,4.20975E-9,3.39352E-9,3.32009E-9,3.31419E-9
4.16869E3,4.18263E-9,3.35774E-9,3.28335E-9,3.27736E-9
4.07380E3,4.15601E-9,3.32239E-9,3.24701E-9,3.24095E-9
3.98107E3,4.12988E-9,3.28747E-9,3.21109E-9,3.20495E-9
3.89045E3,4.10423E-9,3.25296E-9,3.17558E-9,3.16935E-9
3.80189E3,4.07907E-9,3.21887E-9,3.14046E-9,3.13415E-9
3.71535E3,4.05440E-9,3.18519E-9,3.10574E-9,3.09934E-9
3.63078E3,4.03019E-9,3.15192E-9,3.07141E-9,3.06493E-9
3.54813E3,4.00647E-9,3.11905E-9,3.03747E-9,3.03090E-9
3.46737E3,3.98321E-9,3.08658E-9,3.00391E-9,2.99725E-9
3.38844E3,3.96041E-9,3.05451E-9,2.97073E-9,2.96397E-9
3.31131E3,3.93808E-9,3.02283E-9,2.93793E-9,2.93108E-9
3.23594E3,3.91621E-9,2.99153E-9,2.90549E-9,2.89855E-9
3.16228E3,3.89480E-9,2.96061E-9,2.87342E-9,2.86638E-9
3.09030E3,3.87383E-9,2.93008E-9,2.84171E-9,2.83457E-9
3.01995E3,3.85332E-9,2.89992E-9,2.81036E-9,2.80312E-9
2.95121E3,3.83325E-9,2.87013E-9,2.77936E-9,2.77202E-9
2.88403E3,3.81363E-9,2.84072E-9,2.74871E-9,2.74127E-9
2.81838E3,3.79445E-9,2.81166E-9,2.71841E-9,2.71086E-9
2.75423E3,3.77571E-9,2.78297E-9,2.68845E-9,2.68079E-9
2.69153E3,3.75741E-9,2.75464E-9,2.65882E-9,2.65106E-9
2.63027E3,3.73954E-9,2.72666E-9,2.62953E-9,2.62166E-9
2.57040E3,3.72210E-9,2.69903E-9,2.60057E-9,2.59259E-9
2.51189E3,3.70510E-9,2.67176E-9,2.57194E-9,2.56384E-9
2.45471E3,3.68852E-9,2.64483E-9,2.54363E-9,2.53542E-9
2.39883E3,3.67237E-9,2.61824E-9,2.51564E-9,2.50731E-9
2.34423E3,3.65665E-9,2.59199E-9,2.48796E-9,2.47951E-9
2.29087E3,3.64136E-9,2.56608E-9,2.46060E-9,2.45203E-9
2.23872E3,3.62649E-9,2.54050E-9,2.43355E-9,2.42485E-9
2.18776E3,3.61204E-9,2.51525E-9,2.40680E-9,2.39797E-9
2.13796E3,3.59802E-9,2.49033E-9,2.38035E-9,2.37140E-9
2.08930E3,3.58442E-9,2.46574E-9,2.35420E-9,2.34512E-9
2.04174E3,3.57156E-9,2.44202E-9,2.32893E-9,2.31971E-9
1.99526E3,3.55880E-9,2.41807E-9,2.30336E-9,2.29400E-9
1.94984E3,3.54646E-9,2.39443E-9,2.27809E-9,2.26859E-9
1.90546E3,3.53455E-9,2.37112E-9,2.25310E-9,2.24345E-9
1.86209E3,3.52306E-9,2.34812E-9,2.22839E-9,2.21860E-9
1.81970E3,3.51200E-9,2.32543E-9,2.20396E-9,2.19402E-9
1.77828E3,3.50136E-9,2.30306E-9,2.17981E-9,2.16972E-9
1.73780E3,3.49116E-9,2.28099E-9,2.15593E-9,2.14569E-9
1.69824E3,3.48139E-9,2.25923E-9,2.13233E-9,2.12192E-9
1.65959E3,3.47205E-9,2.23778E-9,2.10899E-9,2.09843E-9
1.62181E3,3.46314E-9,2.21663E-9,2.08592E-9,2.07519E-9
1.58489E3,3.45468E-9,2.19579E-9,2.06312E-9,2.05221E-9
1.54882E3,3.44666E-9,2.17524E-9,2.04057E-9,2.02949E-9
1.51356E3,3.43909E-9,2.15500E-9,2.01828E-9,2.00702E-9
1.47911E3,3.43196E-9,2.13506E-9,1.99624E-9,1.98480E-9
1.44544E3,3.42529E-9,2.11542E-9,1.97446E-9,1.96283E-9
1.41254E3,3.41908E-9,2.09607E-9,1.95293E-9,1.94110E-9
1.38038E3,3.41334E-9,2.07702E-9,1.93164E-9,1.91962E-9
1.34896E3,3.40806E-9,2.05827E-9,1.91060E-9,1.89838E-9
1.31826E3,3.40327E-9,2.03982E-9,1.88980E-9,1.87737E-9
1.28825E3,3.39895E-9,2.02166E-9,1.86924E-9,1.85660E-9
1.25893E3,3.39513E-9,2.00379E-9,1.84892E-9,1.83606E-9
1.23027E3,3.39180E-9,1.98623E-9,1.82884E-9,1.81575E-9
1.20226E3,3.38898E-9,1.96895E-9,1.80898E-9,1.79567E-9
1.17490E3,3.38667E-9,1.95198E-9,1.78936E-9,1.77581E-9
1.14815E3,3.38489E-9,1.93530E-9,1.76997E-9,1.75617E-9
1.12202E3,3.38353E-9,1.91853E-9,1.75037E-9,1.73631E-9
1.09648E3,3.38283E-9,1.90247E-9,1.73144E-9,1.71712E-9
1.07152E3,3.38268E-9,1.88669E-9,1.71273E-9,1.69814E-9
1.04713E3,3.38310E-9,1.87121E-9,1.69423E-9,1.67938E-9
1.02329E3,3.38409E-9,1.85604E-9,1.67596E-9,1.66082E-9
1.00000E3,3.38567E-9,1.84117E-9,1.65790E-9,1.64247E-9
977.237,3.38786E-9,1.82660E-9,1.64006E-9,1.62432E-9
954.993,3.39066E-9,1.81234E-9,1.62243E-9,1.60638E-9
933.254,3.39408E-9,1.79839E-9,1.60502E-9,1.58865E-9
912.011,3.39816E-9,1.78476E-9,1.58781E-9,1.57111E-9
891.251,3.40289E-9,1.77144E-9,1.57081E-9,1.55376E-9
870.964,3.40830E-9,1.75844E-9,1.55402E-9,1.53662E-9
851.138,3.41441E-9,1.74576E-9,1.53744E-9,1.51966E-9
831.764,3.42123E-9,1.73340E-9,1.52106E-9,1.50290E-9
812.831,3.42878E-9,1.72138E-9,1.50488E-9,1.48633E-9
794.328,3.43708E-9,1.70969E-9,1.48890E-9,1.46994E-9
776.247,3.44615E-9,1.69833E-9,1.47313E-9,1.45374E-9
758.578,3.45601E-9,1.68732E-9,1.45755E-9,1.43772E-9
741.310,3.46669E-9,1.67666E-9,1.44217E-9,1.42189E-9
724.436,3.47820E-9,1.66635E-9,1.42699E-9,1.40623E-9
707.946,3.49057E-9,1.65639E-9,1.41201E-9,1.39075E-9
691.831,3.50382E-9,1.64681E-9,1.39722E-9,1.37545E-9
676.083,3.51799E-9,1.63759E-9,1.38262E-9,1.36032E-9
660.693,3.53309E-9,1.62876E-9,1.36822E-9,1.34537E-9
645.654,3.54915E-9,1.62031E-9,1.35402E-9,1.33058E-9
630.957,3.56620E-9,1.61225E-9,1.34000E-9,1.31597E-9
616.595,3.58426E-9,1.60459E-9,1.32618E-9,1.30152E-9
602.560,3.60338E-9,1.59734E-9,1.31255E-9,1.28723E-9
588.844,3.62357E-9,1.59051E-9,1.29912E-9,1.27311E-9
575.440,3.64487E-9,1.58411E-9,1.28587E-9,1.25916E-9
562.341,3.66731E-9,1.57815E-9,1.27282E-9,1.24536E-9
549.541,3.69092E-9,1.57263E-9,1.25996E-9,1.23173E-9
537.032,3.71574E-9,1.56757E-9,1.24729E-9,1.21825E-9
524.807,3.74180E-9,1.56297E-9,1.23482E-9,1.20493E-9
512.861,3.76914E-9,1.55886E-9,1.22254E-9,1.19176E-9
501.187,3.79779E-9,1.55523E-9,1.21045E-9,1.17875E-9
489.779,3.82780E-9,1.55211E-9,1.19856E-9,1.16589E-9
478.630,3.85919E-9,1.54950E-9,1.18686E-9,1.15318E-9
467.735,3.89201E-9,1.54742E-9,1.17536E-9,1.14062E-9
457.088,3.92630E-9,1.54588E-9,1.16406E-9,1.12821E-9
446.684,3.96210E-9,1.54489E-9,1.15296E-9,1.11594E-9
436.516,3.99944E-9,1.54447E-9,1.14206E-9,1.10383E-9
426.580,4.03838E-9,1.54464E-9,1.13136E-9,1.09185E-9
416.869,4.07896E-9,1.54539E-9,1.12087E-9,1.08002E-9
407.380,4.12122E-9,1.54677E-9,1.11059E-9,1.06833E-9
398.107,4.16520E-9,1.54876E-9,1.10051E-9,1.05679E-9
389.045,4.21095E-9,1.55140E-9,1.09065E-9,1.04538E-9
380.189,4.25852E-9,1.55470E-9,1.08100E-9,1.03411E-9
371.535,4.30796E-9,1.55867E-9,1.07157E-9,1.02298E-9
363.078,4.35931E-9,1.56333E-9,1.06236E-9,1.01199E-9
354.813,4.41263E-9,1.56869E-9,1.05338E-9,1.00114E-9
346.737,4.46734E-9,1.57478E-9,1.04483E-9,990.658E-12
338.844,4.52471E-9,1.58160E-9,1.03631E-9,980.071E-12
331.131,4.58420E-9,1.58918E-9,1.02802E-9,969.617E-12
323.594,4.64586E-9,1.59753E-9,1.01997E-9,959.297E-12
316.228,4.70975E-9,1.60667E-9,1.01216E-9,949.109E-12
309.030,4.77592E-9,1.61662E-9,1.00461E-9,939.053E-12
301.995,4.84443E-9,1.62740E-9,997.320E-12,929.130E-12
295.121,4.91533E-9,1.63903E-9,990.289E-12,919.337E-12
288.403,4.98868E-9,1.65152E-9,983.526E-12,909.675E-12
281.838,5.06455E-9,1.66489E-9,977.039E-12,900.143E-12
275.423,5.14299E-9,1.67916E-9,970.834E-12,890.741E-12
269.153,5.22406E-9,1.69435E-9,964.918E-12,881.468E-12
263.027,5.30783E-9,1.71047E-9,959.298E-12,872.326E-12
257.040,5.39437E-9,1.72756E-9,953.982E-12,863.312E-12
251.189,5.48373E-9,1.74561E-9,948.978E-12,854.429E-12
245.471,5.57599E-9,1.76466E-9,944.294E-12,845.674E-12
239.883,5.67121E-9,1.78473E-9,939.940E-12,837.049E-12
234.423,5.76947E-9,1.80582E-9,935.923E-12,828.554E-12
229.087,5.87083E-9,1.82796E-9,932.253E-12,820.189E-12
223.872,5.97537E-9,1.85118E-9,928.941E-12,811.954E-12
218.776,6.08315E-9,1.87549E-9,925.995E-12,803.851E-12
213.796,6.19427E-9,1.90091E-9,923.426E-12,795.878E-12
208.930,6.30879E-9,1.92746E-9,921.244E-12,788.039E-12
204.174,6.42680E-9,1.95516E-9,919.461E-12,780.332E-12
199.526,6.54838E-9,1.98403E-9,918.086E-12,772.759E-12
194.984,6.67360E-9,2.01410E-9,917.131E-12,765.321E-12
190.546,6.80256E-9,2.04538E-9,916.608E-12,758.019E-12
186.209,6.93535E-9,2.07791E-9,916.528E-12,750.855E-12
181.970,7.07204E-9,2.11169E-9,916.903E-12,743.829E-12
177.828,7.21274E-9,2.14676E-9,917.745E-12,736.944E-12
173.780,7.35754E-9,2.18313E-9,919.065E-12,730.201E-12
169.824,7.50653E-9,2.22084E-9,920.876E-12,723.602E-12
165.959,7.65982E-9,2.25990E-9,923.190E-12,717.149E-12
162.181,7.81750E-9,2.30035E-9,926.019E-12,710.844E-12
158.489,7.97968E-9,2.34220E-9,929.375E-12,704.690E-12
154.882,8.14647E-9,2.38548E-9,933.271E-12,698.689E-12
151.356,8.31797E-9,2.43023E-9,937.719E-12,692.843E-12
147.911,8.49429E-9,2.47647E-9,942.732E-12,687.157E-12
144.544,8.67556E-9,2.52423E-9,948.321E-12,681.632E-12
141.254,8.86190E-9,2.57354E-9,954.498E-12,676.272E-12
138.038,9.05341E-9,2.62442E-9,961.276E-12,671.081E-12
134.896,9.25024E-9,2.67692E-9,968.667E-12,666.063E-12
131.826,9.45250E-9,2.73107E-9,976.683E-12,661.220E-12
128.825,9.66032E-9,2.78689E-9,985.335E-12,656.558E-12
125.893,9.87386E-9,2.84443E-9,994.636E-12,652.081E-12
123.027,10.0932E-9,2.90371E-9,1.00460E-9,647.794E-12
120.226,10.3186E-9,2.96479E-9,1.01523E-9,643.701E-12
117.490,10.5501E-9,3.02769E-9,1.02655E-9,639.807E-12
114.815,10.7879E-9,3.09245E-9,1.03856E-9,636.118E-12
112.202,11.0321E-9,3.15911E-9,1.05128E-9,632.639E-12
109.648,11.2829E-9,3.22773E-9,1.06471E-9,629.376E-12
107.152,11.5405E-9,3.29833E-9,1.07888E-9,626.336E-12
104.713,11.8051E-9,3.37097E-9,1.09379E-9,623.524E-12
102.329,12.0800E-9,3.44658E-9,1.10961E-9,620.856E-12
100.000,12.3589E-9,3.52344E-9,1.12605E-9,618.527E-12
97.7237,12.6454E-9,3.60250E-9,1.14327E-9,616.445E-12
95.4993,12.9396E-9,3.68379E-9,1.16128E-9,614.618E-12
93.3254,13.2416E-9,3.76736E-9,1.18009E-9,613.055E-12
91.2011,13.5517E-9,3.85327E-9,1.19972E-9,611.763E-12
89.1251,13.8701E-9,3.94157E-9,1.22017E-9,610.751E-12
87.0964,14.1970E-9,4.03233E-9,1.24147E-9,610.025E-12
85.1138,14.5326E-9,4.12560E-9,1.26363E-9,609.594E-12
83.1764,14.8771E-9,4.22146E-9,1.28666E-9,609.467E-12
81.2831,15.2309E-9,4.31996E-9,1.31058E-9,609.652E-12
79.4328,15.5941E-9,4.42119E-9,1.33540E-9,610.158E-12
77.6247,15.9672E-9,4.52523E-9,1.36116E-9,610.994E-12
75.8578,16.3504E-9,4.63217E-9,1.38786E-9,612.170E-12
74.1310,16.7442E-9,4.74214E-9,1.41553E-9,613.695E-12
72.4436,17.1491E-9,4.85530E-9,1.44423E-9,615.582E-12
70.7946,17.5619E-9,4.97070E-9,1.47372E-9,617.861E-12
69.1831,17.9925E-9,5.09118E-9,1.50469E-9,620.514E-12
67.6083,18.4391E-9,5.21616E-9,1.53702E-9,623.591E-12
66.0693,18.9055E-9,5.34676E-9,1.57101E-9,627.138E-12
64.5654,19.3986E-9,5.48492E-9,1.60716E-9,631.236E-12
63.0957,19.9300E-9,5.63386E-9,1.64635E-9,636.028E-12
61.6595,20.5172E-9,5.79850E-9,1.68989E-9,641.744E-12
60.2560,21.1807E-9,5.98464E-9,1.73938E-9,648.703E-12
58.8844,21.9301E-9,6.19493E-9,1.79559E-9,657.157E-12
57.5440,22.7441E-9,6.42349E-9,1.85701E-9,667.013E-12
56.2341,23.5931E-9,6.66195E-9,1.92140E-9,677.982E-12
54.9541,24.4778E-9,6.91051E-9,1.98881E-9,690.092E-12
53.7032,25.4236E-9,7.17634E-9,2.06120E-9,703.725E-12
52.4807,26.4517E-9,7.46538E-9,2.14020E-9,719.256E-12
51.2861,27.5603E-9,7.77714E-9,2.22568E-9,736.701E-12
50.1187,28.6734E-9,8.09022E-9,2.31174E-9,754.725E-12
48.9779,29.7926E-9,8.40509E-9,2.39851E-9,773.468E-12
47.8630,30.9266E-9,8.72421E-9,2.48666E-9,793.026E-12
46.7735,32.0719E-9,9.04653E-9,2.57588E-9,813.296E-12
45.7088,33.2249E-9,9.37105E-9,2.66587E-9,834.169E-12
44.6684,34.3849E-9,9.69761E-9,2.75656E-9,855.593E-12
43.6516,35.5519E-9,10.0262E-9,2.84793E-9,877.527E-12
42.6580,36.7262E-9,10.3568E-9,2.93999E-9,899.940E-12
41.6869,37.9081E-9,10.6896E-9,3.03276E-9,922.811E-12
40.7380,39.0981E-9,11.0247E-9,3.12625E-9,946.120E-12
39.8107,40.2963E-9,11.3622E-9,3.22048E-9,969.846E-12
38.9045,41.5026E-9,11.7019E-9,3.31542E-9,993.968E-12
38.0189,42.7169E-9,12.0439E-9,3.41106E-9,1.01846E-9
37.1535,43.9386E-9,12.3881E-9,3.50734E-9,1.04330E-9
36.3078,45.1671E-9,12.7341E-9,3.60422E-9,1.06846E-9
35.4813,46.4016E-9,13.0819E-9,3.70163E-9,1.09390E-9
34.6737,47.6409E-9,13.4310E-9,3.79946E-9,1.11960E-9
33.8844,48.8838E-9,13.7812E-9,3.89761E-9,1.14550E-9
33.1131,50.1288E-9,14.1319E-9,3.99597E-9,1.17158E-9
32.3594,51.3742E-9,14.4828E-9,4.09440E-9,1.19777E-9
31.6228,52.6183E-9,14.8333E-9,4.19276E-9,1.22405E-9
30.9030,53.8590E-9,15.1829E-9,4.29088E-9,1.25035E-9
30.1995,55.0945E-9,15.5309E-9,4.38861E-9,1.27663E-9
29.5121,56.3224E-9,15.8769E-9,4.48577E-9,1.30282E-9
28.8403,57.5406E-9,16.2202E-9,4.58219E-9,1.32888E-9
28.1838,58.7469E-9,16.5601E-9,4.67767E-9,1.35475E-9
27.5423,59.9391E-9,16.8960E-9,4.77206E-9,1.38038E-9
26.9153,61.1149E-9,17.2273E-9,4.86517E-9,1.40571E-9
26.3027,62.2724E-9,17.5534E-9,4.95685E-9,1.43070E-9
25.7040,63.4095E-9,17.8739E-9,5.04692E-9,1.45528E-9
25.1189,64.5245E-9,18.1881E-9,5.13526E-9,1.47943E-9
24.5471,65.6158E-9,18.4956E-9,5.22172E-9,1.50311E-9
23.9883,66.6819E-9,18.7960E-9,5.30620E-9,1.52626E-9
23.4423,67.7217E-9,19.0890E-9,5.38861E-9,1.54888E-9
