Rptat2 ,/R31/PLUS (A),input noise; V / sqrt(Hz) (V / sqrt(Hz)),input noise; V / sqrt(Hz) (V / sqrt(Hz)),input noise; V / sqrt(Hz) (V / sqrt(Hz)),input noise; V / sqrt(Hz) (V / sqrt(Hz))
22.3872E3,8.51439E-6,7.43075E-9,7.43062E-9,7.43061E-9,7.43061E-9
21.8776E3,8.70919E-6,7.34731E-9,7.34717E-9,7.34716E-9,7.34716E-9
21.3796E3,8.90843E-6,7.26482E-9,7.26467E-9,7.26466E-9,7.26466E-9
20.8930E3,9.11220E-6,7.18327E-9,7.18311E-9,7.18310E-9,7.18310E-9
20.4174E3,9.32062E-6,7.10264E-9,7.10247E-9,7.10246E-9,7.10246E-9
19.9526E3,9.53377E-6,7.02293E-9,7.02275E-9,7.02274E-9,7.02273E-9
19.4984E3,9.75178E-6,6.94412E-9,6.94393E-9,6.94392E-9,6.94392E-9
19.0546E3,9.97475E-6,6.86621E-9,6.86601E-9,6.86599E-9,6.86599E-9
18.6209E3,10.2028E-6,6.78918E-9,6.78897E-9,6.78895E-9,6.78895E-9
18.1970E3,10.4360E-6,6.71303E-9,6.71280E-9,6.71279E-9,6.71279E-9
17.7828E3,10.6746E-6,6.63774E-9,6.63750E-9,6.63749E-9,6.63748E-9
17.3780E3,10.9185E-6,6.56331E-9,6.56306E-9,6.56304E-9,6.56304E-9
16.9824E3,11.1680E-6,6.48972E-9,6.48946E-9,6.48944E-9,6.48944E-9
16.5959E3,11.4232E-6,6.41697E-9,6.41669E-9,6.41667E-9,6.41667E-9
16.2181E3,11.6842E-6,6.34505E-9,6.34475E-9,6.34473E-9,6.34473E-9
15.8489E3,11.9511E-6,6.27394E-9,6.27363E-9,6.27361E-9,6.27360E-9
15.4882E3,12.2241E-6,6.20365E-9,6.20331E-9,6.20329E-9,6.20329E-9
15.1356E3,12.5033E-6,6.13415E-9,6.13380E-9,6.13377E-9,6.13377E-9
14.7911E3,12.7888E-6,6.06544E-9,6.06507E-9,6.06504E-9,6.06504E-9
14.4544E3,13.0808E-6,5.99751E-9,5.99712E-9,5.99709E-9,5.99708E-9
14.1254E3,13.3794E-6,5.93036E-9,5.92994E-9,5.92991E-9,5.92990E-9
13.8038E3,13.6848E-6,5.86397E-9,5.86353E-9,5.86349E-9,5.86349E-9
13.4896E3,13.9972E-6,5.79833E-9,5.79786E-9,5.79783E-9,5.79782E-9
13.1826E3,14.3166E-6,5.73344E-9,5.73295E-9,5.73291E-9,5.73290E-9
12.8825E3,14.6433E-6,5.66929E-9,5.66877E-9,5.66872E-9,5.66872E-9
12.5893E3,14.9774E-6,5.60587E-9,5.60531E-9,5.60527E-9,5.60527E-9
12.3027E3,15.3191E-6,5.54317E-9,5.54258E-9,5.54253E-9,5.54253E-9
12.0226E3,15.6686E-6,5.48119E-9,5.48056E-9,5.48051E-9,5.48051E-9
11.7490E3,16.0259E-6,5.41991E-9,5.41924E-9,5.41919E-9,5.41919E-9
11.4815E3,16.3914E-6,5.35933E-9,5.35862E-9,5.35857E-9,5.35856E-9
11.2202E3,16.7651E-6,5.29944E-9,5.29869E-9,5.29863E-9,5.29863E-9
10.9648E3,17.1474E-6,5.24023E-9,5.23944E-9,5.23937E-9,5.23937E-9
10.7152E3,17.5383E-6,5.18169E-9,5.18085E-9,5.18079E-9,5.18078E-9
10.4713E3,17.9380E-6,5.12383E-9,5.12294E-9,5.12287E-9,5.12286E-9
10.2329E3,18.3469E-6,5.06662E-9,5.06568E-9,5.06560E-9,5.06559E-9
10.0000E3,18.7649E-6,5.01006E-9,5.00906E-9,5.00898E-9,5.00898E-9
9.77237E3,19.1925E-6,4.95415E-9,4.95309E-9,4.95301E-9,4.95300E-9
9.54993E3,19.6297E-6,4.89888E-9,4.89776E-9,4.89767E-9,4.89766E-9
9.33254E3,20.0769E-6,4.84424E-9,4.84305E-9,4.84296E-9,4.84295E-9
9.12011E3,20.5342E-6,4.79022E-9,4.78896E-9,4.78886E-9,4.78885E-9
8.91251E3,21.0018E-6,4.73682E-9,4.73549E-9,4.73538E-9,4.73537E-9
8.70964E3,21.4801E-6,4.68403E-9,4.68262E-9,4.68251E-9,4.68250E-9
8.51138E3,21.9691E-6,4.63185E-9,4.63035E-9,4.63023E-9,4.63022E-9
8.31764E3,22.4693E-6,4.58026E-9,4.57867E-9,4.57854E-9,4.57853E-9
8.12831E3,22.9807E-6,4.52926E-9,4.52758E-9,4.52744E-9,4.52743E-9
7.94328E3,23.5038E-6,4.47885E-9,4.47706E-9,4.47692E-9,4.47691E-9
7.76247E3,24.0386E-6,4.42901E-9,4.42712E-9,4.42697E-9,4.42696E-9
7.58578E3,24.5856E-6,4.37975E-9,4.37775E-9,4.37759E-9,4.37757E-9
7.41310E3,25.1450E-6,4.33105E-9,4.32893E-9,4.32876E-9,4.32875E-9
7.24436E3,25.7171E-6,4.28291E-9,4.28066E-9,4.28048E-9,4.28047E-9
7.07946E3,26.3020E-6,4.23533E-9,4.23294E-9,4.23276E-9,4.23274E-9
6.91831E3,26.9003E-6,4.18829E-9,4.18577E-9,4.18557E-9,4.18555E-9
6.76083E3,27.5120E-6,4.14180E-9,4.13912E-9,4.13891E-9,4.13889E-9
6.60693E3,28.1377E-6,4.09584E-9,4.09301E-9,4.09278E-9,4.09276E-9
