freq (Hz),dB20(VF("/voutdiff1")) (dB),dB20(VF("/voutdiff2")) (dB),phase(VF("/voutdiff1")) (deg),phase(VF("/voutdiff2")) (deg)
50.1187E3,31.4838,31.4869,-115.923E-3,-60.2269E-3
56.2341E3,31.4838,31.4869,-130.068E-3,-67.5757E-3
63.0957E3,31.4838,31.4869,-145.939E-3,-75.8212E-3
70.7946E3,31.4838,31.4869,-163.746E-3,-85.0727E-3
79.4328E3,31.4838,31.4869,-183.726E-3,-95.4531E-3
89.1251E3,31.4838,31.4869,-206.143E-3,-107.100E-3
100.000E3,31.4837,31.4869,-231.297E-3,-120.168E-3
112.202E3,31.4837,31.4869,-259.519E-3,-134.831E-3
125.893E3,31.4837,31.4869,-291.184E-3,-151.283E-3
141.254E3,31.4837,31.4869,-326.713E-3,-169.742E-3
158.489E3,31.4836,31.4869,-366.577E-3,-190.454E-3
177.828E3,31.4836,31.4869,-411.304E-3,-213.692E-3
199.526E3,31.4835,31.4868,-461.488E-3,-239.766E-3
223.872E3,31.4834,31.4868,-517.795E-3,-269.022E-3
251.189E3,31.4833,31.4868,-580.971E-3,-301.847E-3
281.838E3,31.4832,31.4868,-651.853E-3,-338.677E-3
316.228E3,31.4830,31.4867,-731.382E-3,-380.001E-3
354.813E3,31.4828,31.4867,-820.611E-3,-426.367E-3
398.107E3,31.4826,31.4866,-920.721E-3,-478.389E-3
446.684E3,31.4823,31.4866,-1.03304,-536.759E-3
501.187E3,31.4819,31.4865,-1.15905,-602.249E-3
562.341E3,31.4814,31.4863,-1.30042,-675.729E-3
630.957E3,31.4807,31.4862,-1.45902,-758.172E-3
707.946E3,31.4799,31.4860,-1.63694,-850.671E-3
794.328E3,31.4789,31.4858,-1.83653,-954.453E-3
891.251E3,31.4777,31.4855,-2.06041,-1.07089
1.00000E6,31.4761,31.4851,-2.31151,-1.20153
1.12202E6,31.4741,31.4847,-2.59314,-1.34809
1.25893E6,31.4716,31.4841,-2.90895,-1.51251
1.41254E6,31.4684,31.4834,-3.26304,-1.69698
1.58489E6,31.4644,31.4824,-3.66000,-1.90391
1.77828E6,31.4594,31.4813,-4.10490,-2.13604
1.99526E6,31.4532,31.4798,-4.60340,-2.39641
2.23872E6,31.4453,31.4780,-5.16174,-2.68846
2.51189E6,31.4353,31.4757,-5.78685,-3.01598
2.81838E6,31.4229,31.4728,-6.48630,-3.38326
3.16228E6,31.4072,31.4691,-7.26839,-3.79505
3.54813E6,31.3876,31.4645,-8.14212,-4.25666
3.98107E6,31.3631,31.4587,-9.11715,-4.77400
4.46684E6,31.3323,31.4514,-10.2037,-5.35363
5.01187E6,31.2940,31.4423,-11.4126,-6.00280
5.62341E6,31.2462,31.4308,-12.7546,-6.72951
6.30957E6,31.1868,31.4164,-14.2407,-7.54256
7.07946E6,31.1133,31.3983,-15.8809,-8.45154
7.94328E6,31.0224,31.3757,-17.6843,-9.46684
8.91251E6,30.9108,31.3473,-19.6576,-10.5996
10.0000E6,30.7744,31.3119,-21.8048,-11.8616
11.2202E6,30.6088,31.2677,-24.1251,-13.2652
12.5893E6,30.4092,31.2127,-26.6129,-14.8229
14.1254E6,30.1709,31.1444,-29.2554,-16.5469
15.8489E6,29.8891,31.0599,-32.0328,-18.4489
17.7828E6,29.5597,30.9559,-34.9177,-20.5389
19.9526E6,29.1792,30.8283,-37.8752,-22.8247
22.3872E6,28.7455,30.6729,-40.8648,-25.3105
25.1189E6,28.2578,30.4848,-43.8422,-27.9960
28.1838E6,27.7172,30.2589,-46.7622,-30.8750
31.6228E6,27.1260,29.9903,-49.5816,-33.9346
35.4813E6,26.4885,29.6741,-52.2623,-37.1545
39.8107E6,25.8098,29.3062,-54.7733,-40.5073
44.6684E6,25.0962,28.8831,-57.0925,-43.9593
50.1187E6,24.3544,28.4031,-59.2074,-47.4723
56.2341E6,23.5913,27.8653,-61.1157,-51.0058
63.0957E6,22.8137,27.2708,-62.8247,-54.5204
70.7946E6,22.0282,26.6218,-64.3513,-57.9800
79.4328E6,21.2402,25.9218,-65.7208,-61.3541
89.1251E6,20.4547,25.1750,-66.9661,-64.6198
100.000E6,19.6751,24.3862,-68.1261,-67.7623
112.202E6,18.9035,23.5603,-69.2441,-70.7746
125.893E6,18.1405,22.7020,-70.3648,-73.6570
141.254E6,17.3849,21.8158,-71.5317,-76.4164
158.489E6,16.6344,20.9056,-72.7839,-79.0646
177.828E6,15.8853,19.9746,-74.1536,-81.6176
199.526E6,15.1332,19.0257,-75.6651,-84.0945
223.872E6,14.3739,18.0609,-77.3340,-86.5165
251.189E6,13.6031,17.0817,-79.1690,-88.9062
281.838E6,12.8172,16.0891,-81.1736,-91.2876
316.228E6,12.0134,15.0834,-83.3495,-93.6846
354.813E6,11.1893,14.0644,-85.6986,-96.1217
398.107E6,10.3429,13.0315,-88.2244,-98.6228
446.684E6,9.47231,11.9833,-90.9332,-101.211
501.187E6,8.57533,10.9181,-93.8331,-103.909
562.341E6,7.64938,9.83350,-96.9332,-106.736
630.957E6,6.69141,8.72683,-100.241,-109.710
707.946E6,5.69797,7.59496,-103.763,-112.846
794.328E6,4.66531,6.43451,-107.500,-116.154
891.251E6,3.58971,5.24202,-111.448,-119.638
1.00000E9,2.46765,4.01417,-115.600,-123.301
