freq (Hz),input noise; V / sqrt(Hz) mcparamset 1  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 2  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 3  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 4  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 5  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 6  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 7  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 8  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 9  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 10  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 11  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 12  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 13  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 14  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 15  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 16  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 17  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 18  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 19  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 20  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 21  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 22  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 23  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 24  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 25  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 26  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 27  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 28  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 29  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 30  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 31  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 32  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 33  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 34  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 35  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 36  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 37  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 38  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 39  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 40  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 41  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 42  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 43  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 44  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 45  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 46  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 47  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 48  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 49  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 50  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 51  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 52  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 53  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 54  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 55  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 56  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 57  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 58  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 59  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 60  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 61  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 62  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 63  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 64  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 65  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 66  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 67  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 68  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 69  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 70  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 71  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 72  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 73  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 74  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 75  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 76  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 77  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 78  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 79  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 80  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 81  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 82  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 83  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 84  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 85  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 86  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 87  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 88  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 89  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 90  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 91  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 92  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 93  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 94  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 95  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 96  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 97  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 98  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 99  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 100  (V / sqrt(Hz))
10.0000,2.85653E-9,4.12008E-9,3.96069E-9,3.61791E-9,2.12170E-9,6.11192E-9,3.20530E-9,1.91542E-9,2.38891E-9,1.95811E-9,3.04754E-9,2.44396E-9,5.33640E-9,2.34397E-9,3.14347E-9,7.25905E-9,2.09367E-9,2.97521E-9,1.93360E-9,3.43334E-9,2.01082E-9,3.83605E-9,3.04121E-9,3.69435E-9,1.73210E-9,8.12960E-9,4.78896E-9,3.03641E-9,5.15953E-9,5.15494E-9,3.10150E-9,1.84706E-9,2.58492E-9,5.38832E-9,4.21212E-9,2.79889E-9,5.72352E-9,2.36187E-9,3.82181E-9,3.94731E-9,1.70486E-9,3.58782E-9,4.09125E-9,3.55239E-9,1.91398E-9,6.74742E-9,2.78753E-9,1.76413E-9,1.74500E-9,6.10512E-9,3.50471E-9,2.24792E-9,4.73764E-9,1.71847E-9,2.57359E-9,2.38302E-9,1.88140E-9,2.93934E-9,3.67580E-9,1.77421E-9,2.01891E-9,2.78088E-9,5.89923E-9,1.76854E-9,2.25592E-9,4.34073E-9,4.80517E-9,2.07457E-9,3.95760E-9,3.34655E-9,2.11178E-9,1.91788E-9,4.09885E-9,2.91251E-9,2.40718E-9,2.43269E-9,1.86581E-9,5.67524E-9,1.82663E-9,3.27971E-9,2.68905E-9,4.44213E-9,3.06312E-9,6.86443E-9,3.06341E-9,4.15200E-9,1.76739E-9,5.32088E-9,4.73903E-9,2.88559E-9,5.22796E-9,4.00807E-9,3.06951E-9,6.32870E-9,2.06158E-9,5.60196E-9,3.57339E-9,2.16881E-9,2.05402E-9,3.07116E-9
12.5893,2.56332E-9,3.65030E-9,3.51518E-9,3.21719E-9,1.93866E-9,5.38101E-9,2.86286E-9,1.76760E-9,2.16544E-9,1.80269E-9,2.72726E-9,2.21002E-9,4.70677E-9,2.12873E-9,2.80758E-9,6.38148E-9,1.91698E-9,2.66355E-9,1.78203E-9,3.05612E-9,1.85005E-9,3.40614E-9,2.72156E-9,3.28283E-9,1.61361E-9,7.14107E-9,4.23034E-9,2.71411E-9,4.55451E-9,4.54864E-9,2.77194E-9,1.70962E-9,2.32868E-9,4.75158E-9,3.73109E-9,2.51487E-9,5.04302E-9,2.14197E-9,3.39376E-9,3.50103E-9,1.59067E-9,3.19082E-9,3.62665E-9,3.15949E-9,1.76786E-9,5.93565E-9,2.50306E-9,1.64197E-9,1.62439E-9,5.37523E-9,3.11908E-9,2.04553E-9,4.18664E-9,1.60381E-9,2.31957E-9,2.16014E-9,1.74081E-9,2.63421E-9,3.26581E-9,1.65017E-9,1.85190E-9,2.49860E-9,5.19637E-9,1.64766E-9,2.04954E-9,3.84247E-9,4.24548E-9,1.89918E-9,3.50936E-9,2.98415E-9,1.93260E-9,1.76971E-9,3.63160E-9,2.61068E-9,2.17958E-9,2.19957E-9,1.72772E-9,5.00214E-9,1.69093E-9,2.92754E-9,2.41809E-9,3.92982E-9,2.74050E-9,6.03705E-9,2.73977E-9,3.67828E-9,1.64494E-9,4.69298E-9,4.18687E-9,2.58935E-9,4.61311E-9,3.55370E-9,2.74869E-9,5.56962E-9,1.88620E-9,4.93697E-9,3.17919E-9,1.97832E-9,1.88111E-9,2.74675E-9
15.8489,2.31151E-9,3.24301E-9,3.12954E-9,2.87095E-9,1.78382E-9,4.74391E-9,2.56787E-9,1.64295E-9,1.97493E-9,1.67114E-9,2.45199E-9,2.01050E-9,4.15889E-9,1.94516E-9,2.51844E-9,5.61555E-9,1.76756E-9,2.39580E-9,1.65397E-9,2.73024E-9,1.71416E-9,3.03404E-9,2.44689E-9,2.92710E-9,1.51434E-9,6.27765E-9,3.74490E-9,2.43690E-9,4.02822E-9,4.02119E-9,2.48843E-9,1.59397E-9,2.10967E-9,4.19739E-9,3.31388E-9,2.27143E-9,4.45028E-9,1.95485E-9,3.02297E-9,3.11452E-9,1.49502E-9,2.84766E-9,3.22404E-9,2.82007E-9,1.64463E-9,5.22754E-9,2.25921E-9,1.53951E-9,1.52319E-9,4.73908E-9,2.78596E-9,1.87350E-9,3.70778E-9,1.50772E-9,2.10219E-9,1.97025E-9,1.62223E-9,2.37215E-9,2.91139E-9,1.54614E-9,1.71056E-9,2.25683E-9,4.58390E-9,1.54621E-9,1.87407E-9,3.41029E-9,3.75881E-9,1.75075E-9,3.12094E-9,2.67166E-9,1.78060E-9,1.64464E-9,3.22658E-9,2.35166E-9,1.98582E-9,2.00089E-9,1.61138E-9,4.41577E-9,1.57672E-9,2.62402E-9,2.18590E-9,3.48504E-9,2.46314E-9,5.31519E-9,2.46129E-9,3.26774E-9,1.54227E-9,4.14663E-9,3.70691E-9,2.33484E-9,4.07839E-9,3.16010E-9,2.47260E-9,4.90774E-9,1.73784E-9,4.35790E-9,2.83861E-9,1.81670E-9,1.73506E-9,2.46751E-9
19.9526,2.09635E-9,2.89095E-9,2.79685E-9,2.57292E-9,1.65373E-9,4.18941E-9,2.31488E-9,1.53858E-9,1.81352E-9,1.56055E-9,2.21657E-9,1.84137E-9,3.68307E-9,1.78957E-9,2.27070E-9,4.94778E-9,1.64210E-9,2.16689E-9,1.54651E-9,2.44982E-9,1.60011E-9,2.71308E-9,2.21202E-9,2.62073E-9,1.43175E-9,5.52417E-9,3.32404E-9,2.19958E-9,3.57140E-9,3.56328E-9,2.24566E-9,1.49736E-9,1.92356E-9,3.71596E-9,2.95306E-9,2.06388E-9,3.93484E-9,1.79664E-9,2.70282E-9,2.78084E-9,1.41547E-9,2.55215E-9,2.87623E-9,2.52795E-9,1.54144E-9,4.61064E-9,2.05131E-9,1.45417E-9,1.43888E-9,4.18545E-9,2.49932E-9,1.72824E-9,3.29259E-9,1.42775E-9,1.91722E-9,1.80947E-9,1.52291E-9,2.14820E-9,2.60613E-9,1.45951E-9,1.59178E-9,2.05089E-9,4.05104E-9,1.46166E-9,1.72585E-9,3.03649E-9,3.33658E-9,1.62600E-9,2.78540E-9,2.40335E-9,1.65254E-9,1.53981E-9,2.87655E-9,2.13050E-9,1.82192E-9,1.83261E-9,1.51405E-9,3.90584E-9,1.48128E-9,2.36359E-9,1.98801E-9,3.09990E-9,2.22587E-9,4.68614E-9,2.22278E-9,2.91301E-9,1.45680E-9,3.67218E-9,3.29068E-9,2.11727E-9,3.61433E-9,2.82021E-9,2.23615E-9,4.33140E-9,1.61321E-9,3.85454E-9,2.54549E-9,1.68051E-9,1.61256E-9,2.22827E-9
25.1189,1.91360E-9,2.58773E-9,2.51101E-9,2.31755E-9,1.54526E-9,3.70771E-9,2.09904E-9,1.45180E-9,1.67771E-9,1.46826E-9,2.01637E-9,1.69897E-9,3.27086E-9,1.65859E-9,2.05955E-9,4.36641E-9,1.53753E-9,1.97233E-9,1.45697E-9,2.20962E-9,1.50508E-9,2.43736E-9,2.01233E-9,2.35802E-9,1.36353E-9,4.86736E-9,2.96022E-9,1.99755E-9,3.17592E-9,3.16675E-9,2.03893E-9,1.41722E-9,1.76644E-9,3.29874E-9,2.64211E-9,1.88804E-9,3.48758E-9,1.66382E-9,2.42751E-9,2.49392E-9,1.34976E-9,2.29881E-9,2.57690E-9,2.27771E-9,1.45565E-9,4.07407E-9,1.87514E-9,1.38359E-9,1.36913E-9,3.70457E-9,2.25380E-9,1.60645E-9,2.93365E-9,1.36165E-9,1.76083E-9,1.67428E-9,1.44031E-9,1.95794E-9,2.34435E-9,1.38789E-9,1.49268E-9,1.87657E-9,3.58839E-9,1.39170E-9,1.60153E-9,2.71431E-9,2.97130E-9,1.52191E-9,2.49665E-9,2.17414E-9,1.54541E-9,1.45257E-9,2.57516E-9,1.94280E-9,1.68424E-9,1.69105E-9,1.43322E-9,3.46332E-9,1.40210E-9,2.14127E-9,1.82040E-9,2.76750E-9,2.02401E-9,4.13880E-9,2.01963E-9,2.60764E-9,1.38615E-9,3.26117E-9,2.93074E-9,1.93238E-9,3.21265E-9,2.52784E-9,2.03476E-9,3.83044E-9,1.50929E-9,3.41795E-9,2.29437E-9,1.56657E-9,1.51058E-9,2.02442E-9
31.6228,1.75940E-9,2.32773E-9,2.26661E-9,2.09989E-9,1.45549E-9,3.29024E-9,1.91603E-9,1.38017E-9,1.56428E-9,1.39180E-9,1.84722E-9,1.57998E-9,2.91484E-9,1.54914E-9,1.88072E-9,3.86115E-9,1.45103E-9,1.80803E-9,1.38292E-9,2.00501E-9,1.42648E-9,2.20168E-9,1.84365E-9,2.13393E-9,1.30754E-9,4.29563E-9,2.64684E-9,1.82665E-9,2.83465E-9,2.82446E-9,1.86399E-9,1.35124E-9,1.63476E-9,2.93824E-9,2.37530E-9,1.74007E-9,3.10051E-9,1.55314E-9,2.19187E-9,2.24836E-9,1.29584E-9,2.08278E-9,2.32045E-9,2.06449E-9,1.38482E-9,3.60831E-9,1.72689E-9,1.32560E-9,1.31183E-9,3.28787E-9,2.04464E-9,1.50511E-9,2.62446E-9,1.30738E-9,1.62955E-9,1.56146E-9,1.37210E-9,1.79736E-9,2.12104E-9,1.32909E-9,1.41062E-9,1.73004E-9,3.18770E-9,1.33420E-9,1.49805E-9,2.43779E-9,2.65637E-9,1.43571E-9,2.24929E-9,1.97947E-9,1.45645E-9,1.38049E-9,2.31680E-9,1.78455E-9,1.56946E-9,1.57286E-9,1.36656E-9,3.08035E-9,1.33688E-9,1.95263E-9,1.67943E-9,2.48173E-9,1.85339E-9,3.66349E-9,1.84768E-9,2.34594E-9,1.32815E-9,2.90622E-9,2.62059E-9,1.77628E-9,2.86609E-9,2.27751E-9,1.86433E-9,3.39595E-9,1.42329E-9,3.04033E-9,2.08038E-9,1.47197E-9,1.42632E-9,1.85179E-9
39.8107,1.63023E-9,2.10595E-9,2.05884E-9,1.91552E-9,1.38176E-9,2.92950E-9,1.76189E-9,1.32145E-9,1.47028E-9,1.32889E-9,1.70532E-9,1.48131E-9,2.60850E-9,1.45837E-9,1.73030E-9,3.42302E-9,1.38002E-9,1.67029E-9,1.32208E-9,1.83180E-9,1.36192E-9,2.00138E-9,1.70219E-9,1.94394E-9,1.26188E-9,3.79884E-9,2.37808E-9,1.68311E-9,2.54135E-9,2.53014E-9,1.71699E-9,1.29728E-9,1.52523E-9,2.62788E-9,2.14753E-9,1.61650E-9,2.76663E-9,1.46164E-9,1.99132E-9,2.03936E-9,1.25187E-9,1.89968E-9,2.10192E-9,1.88395E-9,1.32676E-9,3.20505E-9,1.60307E-9,1.27827E-9,1.26505E-9,2.92786E-9,1.86758E-9,1.42144E-9,2.35929E-9,1.26309E-9,1.52018E-9,1.46803E-9,1.31616E-9,1.66282E-9,1.93168E-9,1.28113E-9,1.34316E-9,1.60780E-9,2.84175E-9,1.28723E-9,1.41257E-9,2.20164E-9,2.38601E-9,1.36485E-9,2.03854E-9,1.81524E-9,1.38313E-9,1.32135E-9,2.09649E-9,1.65211E-9,1.47453E-9,1.47495E-9,1.31195E-9,2.75000E-9,1.28352E-9,1.79364E-9,1.56175E-9,2.23724E-9,1.71020E-9,3.25173E-9,1.70316E-9,2.12284E-9,1.28084E-9,2.60083E-9,2.35448E-9,1.64545E-9,2.56828E-9,2.06434E-9,1.72110E-9,3.02016E-9,1.35267E-9,2.71483E-9,1.89917E-9,1.39401E-9,1.35724E-9,1.70664E-9
50.1187,1.52289E-9,1.91791E-9,1.88336E-9,1.76043E-9,1.32166E-9,2.61891E-9,1.63305E-9,1.27362E-9,1.39297E-9,1.27748E-9,1.58722E-9,1.40013E-9,2.34611E-9,1.38366E-9,1.60475E-9,3.04416E-9,1.32214E-9,1.55571E-9,1.27244E-9,1.68621E-9,1.30927E-9,1.83226E-9,1.58448E-9,1.78395E-9,1.22485E-9,3.36817E-9,2.14877E-9,1.56346E-9,2.29046E-9,2.27826E-9,1.59441E-9,1.25344E-9,1.43487E-9,2.36186E-9,1.95424E-9,1.51410E-9,2.47980E-9,1.38657E-9,1.82172E-9,1.86262E-9,1.21622E-9,1.74556E-9,1.91686E-9,1.73214E-9,1.27947E-9,2.85701E-9,1.50047E-9,1.23986E-9,1.22709E-9,2.61797E-9,1.71873E-9,1.35288E-9,2.13304E-9,1.22714E-9,1.42978E-9,1.39125E-9,1.27057E-9,1.55096E-9,1.77222E-9,1.24224E-9,1.28810E-9,1.50663E-9,2.54422E-9,1.24909E-9,1.34250E-9,2.00117E-9,2.15507E-9,1.30701E-9,1.86009E-9,1.67771E-9,1.32313E-9,1.27315E-9,1.90978E-9,1.54215E-9,1.39664E-9,1.39448E-9,1.26751E-9,2.46620E-9,1.24014E-9,1.66063E-9,1.46428E-9,2.02922E-9,1.59096E-9,2.89611E-9,1.58261E-9,1.93382E-9,1.24248E-9,2.33928E-9,2.12731E-9,1.53663E-9,2.31358E-9,1.88396E-9,1.60166E-9,2.69624E-9,1.29510E-9,2.43542E-9,1.74678E-9,1.33025E-9,1.30100E-9,1.58549E-9
63.0957,1.43438E-9,1.75957E-9,1.73623E-9,1.63097E-9,1.27301E-9,2.35268E-9,1.52620E-9,1.23490E-9,1.32988E-9,1.23574E-9,1.48970E-9,1.33386E-9,2.12255E-9,1.32263E-9,1.50079E-9,2.71767E-9,1.27528E-9,1.46117E-9,1.23218E-9,1.56476E-9,1.26660E-9,1.69051E-9,1.48732E-9,1.65025E-9,1.19498E-9,2.99586E-9,1.95429E-9,1.46455E-9,2.07707E-9,2.06388E-9,1.49302E-9,1.21802E-9,1.36090E-9,2.13506E-9,1.79132E-9,1.42994E-9,2.23457E-9,1.32546E-9,1.67931E-9,1.71421E-9,1.18745E-9,1.61682E-9,1.76124E-9,1.60546E-9,1.24118E-9,2.55779E-9,1.41615E-9,1.20885E-9,1.19645E-9,2.35240E-9,1.59455E-9,1.29711E-9,1.94115E-9,1.19812E-9,1.35565E-9,1.32864E-9,1.23363E-9,1.45870E-9,1.63894E-9,1.21089E-9,1.24345E-9,1.42358E-9,2.28951E-9,1.21829E-9,1.28549E-9,1.83211E-9,1.95895E-9,1.26012E-9,1.71006E-9,1.56344E-9,1.27437E-9,1.23409E-9,1.75263E-9,1.45157E-9,1.33321E-9,1.32887E-9,1.23154E-9,2.22356E-9,1.20508E-9,1.55023E-9,1.38419E-9,1.85337E-9,1.49245E-9,2.59011E-9,1.48285E-9,1.77478E-9,1.21153E-9,2.11647E-9,1.93455E-9,1.44684E-9,2.09697E-9,1.73241E-9,1.50284E-9,2.41818E-9,1.24849E-9,2.19676E-9,1.61961E-9,1.27847E-9,1.25553E-9,1.48519E-9
79.4328,1.36198E-9,1.62724E-9,1.61383E-9,1.52377E-9,1.23387E-9,2.12565E-9,1.43830E-9,1.20371E-9,1.27876E-9,1.20204E-9,1.40983E-9,1.28016E-9,1.93327E-9,1.27311E-9,1.41541E-9,2.43749E-9,1.23758E-9,1.38380E-9,1.19971E-9,1.46428E-9,1.23221E-9,1.57263E-9,1.40777E-9,1.53941E-9,1.17098E-9,2.67514E-9,1.79048E-9,1.38345E-9,1.89674E-9,1.88257E-9,1.40982E-9,1.18956E-9,1.30082E-9,1.94286E-9,1.65502E-9,1.36131E-9,2.02610E-9,1.27605E-9,1.56065E-9,1.59058E-9,1.16434E-9,1.51013E-9,1.63137E-9,1.50062E-9,1.21033E-9,2.30174E-9,1.34739E-9,1.18393E-9,1.17183E-9,2.12601E-9,1.49178E-9,1.25205E-9,1.77953E-9,1.17478E-9,1.29532E-9,1.27794E-9,1.20386E-9,1.38323E-9,1.52844E-9,1.18572E-9,1.20747E-9,1.35595E-9,2.07263E-9,1.19351E-9,1.23942E-9,1.69060E-9,1.79352E-9,1.22233E-9,1.58488E-9,1.46928E-9,1.23498E-9,1.20261E-9,1.62136E-9,1.37757E-9,1.28195E-9,1.27576E-9,1.20258E-9,2.01731E-9,1.17688E-9,1.45934E-9,1.31889E-9,1.70578E-9,1.41173E-9,2.32800E-9,1.40098E-9,1.64199E-9,1.18668E-9,1.92786E-9,1.77208E-9,1.37334E-9,1.91394E-9,1.60605E-9,1.42174E-9,2.18069E-9,1.21098E-9,1.99410E-9,1.51433E-9,1.23669E-9,1.21899E-9,1.40281E-9
100.000,1.30322E-9,1.51755E-9,1.51285E-9,1.43573E-9,1.20256E-9,1.93324E-9,1.36658E-9,1.17870E-9,1.23760E-9,1.17496E-9,1.34494E-9,1.23694E-9,1.77414E-9,1.23320E-9,1.34586E-9,2.19826E-9,1.20741E-9,1.32097E-9,1.17363E-9,1.38182E-9,1.20463E-9,1.47540E-9,1.34316E-9,1.44828E-9,1.15177E-9,2.40002E-9,1.65355E-9,1.31749E-9,1.74544E-9,1.73034E-9,1.34212E-9,1.16678E-9,1.25237E-9,1.78112E-9,1.54190E-9,1.30576E-9,1.85003E-9,1.23637E-9,1.46258E-9,1.48842E-9,1.14583E-9,1.42246E-9,1.52387E-9,1.41456E-9,1.18560E-9,2.08385E-9,1.29175E-9,1.16397E-9,1.15213E-9,1.93419E-9,1.40743E-9,1.21588E-9,1.64443E-9,1.15608E-9,1.24658E-9,1.23716E-9,1.17996E-9,1.32196E-9,1.43759E-9,1.16560E-9,1.17861E-9,1.30128E-9,1.88915E-9,1.17367E-9,1.20242E-9,1.57311E-9,1.65501E-9,1.19204E-9,1.48128E-9,1.39232E-9,1.20334E-9,1.17736E-9,1.51261E-9,1.31758E-9,1.24078E-9,1.23307E-9,1.17936E-9,1.84313E-9,1.15430E-9,1.38513E-9,1.26606E-9,1.58289E-9,1.34612E-9,2.10468E-9,1.33430E-9,1.53201E-9,1.16679E-9,1.76931E-9,1.63617E-9,1.31363E-9,1.76042E-9,1.50156E-9,1.35570E-9,1.97901E-9,1.18098E-9,1.82316E-9,1.42790E-9,1.20318E-9,1.18978E-9,1.33570E-9
125.893,1.25587E-9,1.42737E-9,1.43024E-9,1.36403E-9,1.17762E-9,1.77129E-9,1.30850E-9,1.15872E-9,1.20466E-9,1.15330E-9,1.29262E-9,1.20237E-9,1.64138E-9,1.20120E-9,1.28966E-9,1.99520E-9,1.18338E-9,1.27034E-9,1.15279E-9,1.31470E-9,1.18261E-9,1.39588E-9,1.29108E-9,1.37398E-9,1.13644E-9,2.16523E-9,1.54001E-9,1.26425E-9,1.61951E-9,1.60352E-9,1.28744E-9,1.14862E-9,1.21356E-9,1.64605E-9,1.44881E-9,1.26112E-9,1.70242E-9,1.20468E-9,1.38220E-9,1.40471E-9,1.13107E-9,1.35099E-9,1.43563E-9,1.34451E-9,1.16585E-9,1.89960E-9,1.24706E-9,1.14804E-9,1.13640E-9,1.77281E-9,1.33876E-9,1.18699E-9,1.53239E-9,1.14115E-9,1.20746E-9,1.20455E-9,1.16085E-9,1.27259E-9,1.36351E-9,1.14957E-9,1.15558E-9,1.25740E-9,1.73501E-9,1.15782E-9,1.17288E-9,1.47636E-9,1.53996E-9,1.16788E-9,1.39625E-9,1.32993E-9,1.17804E-9,1.15719E-9,1.42325E-9,1.26931E-9,1.20793E-9,1.19895E-9,1.16082E-9,1.69710E-9,1.13628E-9,1.32500E-9,1.22361E-9,1.48139E-9,1.29319E-9,1.91559E-9,1.28043E-9,1.44168E-9,1.15094E-9,1.63707E-9,1.52340E-9,1.26547E-9,1.63265E-9,1.41588E-9,1.30234E-9,1.80890E-9,1.15708E-9,1.68005E-9,1.35751E-9,1.17643E-9,1.16654E-9,1.28143E-9
