temp (C),/voutdiff1 Vcm -0.5 mcparamset 1  (V),/voutdiff1 Vcm -0.5 mcparamset 2  (V),/voutdiff1 Vcm -0.5 mcparamset 3  (V),/voutdiff1 Vcm -0.5 mcparamset 4  (V),/voutdiff1 Vcm -0.5 mcparamset 5  (V),/voutdiff1 Vcm -0.5 mcparamset 6  (V),/voutdiff1 Vcm -0.5 mcparamset 7  (V),/voutdiff1 Vcm -0.5 mcparamset 8  (V),/voutdiff1 Vcm -0.5 mcparamset 9  (V),/voutdiff1 Vcm -0.5 mcparamset 10  (V),/voutdiff1 Vcm -0.5 mcparamset 11  (V),/voutdiff1 Vcm -0.5 mcparamset 12  (V),/voutdiff1 Vcm -0.5 mcparamset 13  (V),/voutdiff1 Vcm -0.5 mcparamset 14  (V),/voutdiff1 Vcm -0.5 mcparamset 15  (V),/voutdiff1 Vcm -0.5 mcparamset 16  (V),/voutdiff1 Vcm -0.5 mcparamset 17  (V),/voutdiff1 Vcm -0.5 mcparamset 18  (V),/voutdiff1 Vcm -0.5 mcparamset 19  (V),/voutdiff1 Vcm -0.5 mcparamset 20  (V),/voutdiff1 Vcm 0 mcparamset 1  (V),/voutdiff1 Vcm 0 mcparamset 2  (V),/voutdiff1 Vcm 0 mcparamset 3  (V),/voutdiff1 Vcm 0 mcparamset 4  (V),/voutdiff1 Vcm 0 mcparamset 5  (V),/voutdiff1 Vcm 0 mcparamset 6  (V),/voutdiff1 Vcm 0 mcparamset 7  (V),/voutdiff1 Vcm 0 mcparamset 8  (V),/voutdiff1 Vcm 0 mcparamset 9  (V),/voutdiff1 Vcm 0 mcparamset 10  (V),/voutdiff1 Vcm 0 mcparamset 11  (V),/voutdiff1 Vcm 0 mcparamset 12  (V),/voutdiff1 Vcm 0 mcparamset 13  (V),/voutdiff1 Vcm 0 mcparamset 14  (V),/voutdiff1 Vcm 0 mcparamset 15  (V),/voutdiff1 Vcm 0 mcparamset 16  (V),/voutdiff1 Vcm 0 mcparamset 17  (V),/voutdiff1 Vcm 0 mcparamset 18  (V),/voutdiff1 Vcm 0 mcparamset 19  (V),/voutdiff1 Vcm 0 mcparamset 20  (V),/voutdiff1 Vcm 0.5 mcparamset 1  (V),/voutdiff1 Vcm 0.5 mcparamset 2  (V),/voutdiff1 Vcm 0.5 mcparamset 3  (V),/voutdiff1 Vcm 0.5 mcparamset 4  (V),/voutdiff1 Vcm 0.5 mcparamset 5  (V),/voutdiff1 Vcm 0.5 mcparamset 6  (V),/voutdiff1 Vcm 0.5 mcparamset 7  (V),/voutdiff1 Vcm 0.5 mcparamset 8  (V),/voutdiff1 Vcm 0.5 mcparamset 9  (V),/voutdiff1 Vcm 0.5 mcparamset 10  (V),/voutdiff1 Vcm 0.5 mcparamset 11  (V),/voutdiff1 Vcm 0.5 mcparamset 12  (V),/voutdiff1 Vcm 0.5 mcparamset 13  (V),/voutdiff1 Vcm 0.5 mcparamset 14  (V),/voutdiff1 Vcm 0.5 mcparamset 15  (V),/voutdiff1 Vcm 0.5 mcparamset 16  (V),/voutdiff1 Vcm 0.5 mcparamset 17  (V),/voutdiff1 Vcm 0.5 mcparamset 18  (V),/voutdiff1 Vcm 0.5 mcparamset 19  (V),/voutdiff1 Vcm 0.5 mcparamset 20  (V)
0.00000,36.2913,36.1068,33.8676,35.4975,32.1472,38.1553,35.3035,34.8758,36.1521,32.7934,36.4222,35.9590,36.5273,34.5377,35.2976,37.2118,35.4773,36.9032,33.6109,36.1909,36.5040,36.3219,34.0690,35.7093,32.3366,38.3859,35.5151,35.0822,36.3665,32.9918,36.6429,36.1775,36.7432,34.7451,35.5080,37.4344,35.6912,37.1246,33.8089,36.4065,36.7013,36.5219,34.2570,35.9066,32.5135,38.6000,35.7123,35.2746,36.5657,33.1773,36.8485,36.3814,36.9440,34.9384,35.7041,37.6414,35.8906,37.3305,33.9936,36.6072
1.00000,36.2934,36.1048,33.8659,35.4953,32.1475,38.1509,35.3008,34.8755,36.1473,32.7913,36.4191,35.9560,36.5268,34.5340,35.2974,37.2106,35.4775,36.9012,33.6074,36.1908,36.5061,36.3198,34.0673,35.7070,32.3369,38.3815,35.5123,35.0819,36.3616,32.9896,36.6397,36.1745,36.7427,34.7414,35.5077,37.4331,35.6914,37.1226,33.8054,36.4064,36.7034,36.5197,34.2552,35.9043,32.5138,38.5955,35.7095,35.2742,36.5608,33.1750,36.8452,36.3783,36.9434,34.9346,35.7037,37.6400,35.8907,37.3284,33.9900,36.6070
2.00000,36.2955,36.1028,33.8643,35.4932,32.1479,38.1466,35.2982,34.8752,36.1426,32.7892,36.4160,35.9530,36.5264,34.5304,35.2971,37.2095,35.4777,36.8993,33.6040,36.1908,36.5081,36.3178,34.0656,35.7048,32.3372,38.3771,35.5097,35.0815,36.3568,32.9875,36.6365,36.1714,36.7423,34.7377,35.5074,37.4319,35.6915,37.1206,33.8019,36.4063,36.7054,36.5176,34.2534,35.9020,32.5140,38.5910,35.7067,35.2738,36.5559,33.1728,36.8420,36.3752,36.9428,34.9309,35.7033,37.6387,35.8908,37.3263,33.9865,36.6068
3.00000,36.2977,36.1009,33.8626,35.4911,32.1482,38.1424,35.2956,34.8749,36.1379,32.7871,36.4129,35.9501,36.5260,34.5269,35.2969,37.2083,35.4779,36.8974,33.6006,36.1908,36.5103,36.3158,34.0639,35.7026,32.3376,38.3728,35.5070,35.0812,36.3521,32.9853,36.6334,36.1685,36.7418,34.7341,35.5071,37.4307,35.6917,37.1187,33.7985,36.4063,36.7074,36.5155,34.2517,35.8997,32.5143,38.5865,35.7040,35.2734,36.5510,33.1706,36.8388,36.3721,36.9423,34.9271,35.7030,37.6374,35.8909,37.3243,33.9830,36.6067
4.00000,36.2998,36.0990,33.8610,35.4890,32.1486,38.1383,35.2930,34.8746,36.1333,32.7851,36.4100,35.9473,36.5257,34.5233,35.2967,37.2072,35.4782,36.8956,33.5973,36.1908,36.5124,36.3138,34.0623,35.7005,32.3380,38.3686,35.5044,35.0809,36.3474,32.9833,36.6304,36.1656,36.7414,34.7305,35.5069,37.4296,35.6919,37.1168,33.7951,36.4063,36.7095,36.5135,34.2500,35.8975,32.5147,38.5821,35.7013,35.2730,36.5462,33.1684,36.8356,36.3691,36.9418,34.9235,35.7027,37.6362,35.8910,37.3223,33.9795,36.6066
5.00000,36.3020,36.0972,33.8595,35.4870,32.1491,38.1342,35.2905,34.8744,36.1288,32.7831,36.4070,35.9445,36.5253,34.5199,35.2965,37.2062,35.4784,36.8938,33.5940,36.1909,36.5145,36.3119,34.0607,35.6985,32.3384,38.3644,35.5018,35.0807,36.3428,32.9812,36.6274,36.1627,36.7411,34.7270,35.5067,37.4285,35.6922,37.1150,33.7918,36.4063,36.7116,36.5115,34.2483,35.8954,32.5150,38.5778,35.6986,35.2727,36.5415,33.1663,36.8325,36.3661,36.9413,34.9198,35.7024,37.6350,35.8912,37.3204,33.9761,36.6066
6.00000,36.3042,36.0954,33.8580,35.4850,32.1496,38.1301,35.2881,34.8742,36.1243,32.7811,36.4042,35.9417,36.5251,34.5164,35.2964,37.2052,35.4788,36.8921,33.5908,36.1910,36.5167,36.3101,34.0591,35.6965,32.3388,38.3603,35.4993,35.0805,36.3382,32.9792,36.6245,36.1599,36.7407,34.7235,35.5066,37.4274,35.6925,37.1132,33.7885,36.4064,36.7137,36.5095,34.2467,35.8933,32.5155,38.5736,35.6960,35.2725,36.5368,33.1643,36.8295,36.3632,36.9409,34.9162,35.7022,37.6338,35.8915,37.3185,33.9727,36.6065
7.00000,36.3064,36.0936,33.8565,35.4831,32.1501,38.1262,35.2857,34.8741,36.1198,32.7792,36.4013,35.9390,36.5248,34.5130,35.2964,37.2042,35.4792,36.8904,33.5876,36.1911,36.5189,36.3083,34.0576,35.6945,32.3393,38.3563,35.4969,35.0803,36.3337,32.9773,36.6216,36.1572,36.7405,34.7200,35.5065,37.4264,35.6928,37.1115,33.7853,36.4065,36.7158,36.5076,34.2451,35.8912,32.5159,38.5694,35.6935,35.2722,36.5322,33.1622,36.8265,36.3604,36.9406,34.9127,35.7020,37.6327,35.8917,37.3167,33.9694,36.6065
8.00000,36.3086,36.0919,33.8551,35.4813,32.1507,38.1223,35.2833,34.8740,36.1155,32.7773,36.3986,35.9364,36.5246,34.5097,35.2964,37.2033,35.4796,36.8888,33.5845,36.1913,36.5211,36.3065,34.0562,35.6926,32.3399,38.3523,35.4945,35.0802,36.3293,32.9753,36.6188,36.1545,36.7402,34.7166,35.5064,37.4255,35.6932,37.1098,33.7821,36.4066,36.7179,36.5057,34.2435,35.8892,32.5164,38.5653,35.6909,35.2720,36.5276,33.1603,36.8236,36.3576,36.9402,34.9092,35.7018,37.6316,35.8920,37.3149,33.9662,36.6066
9.00000,36.3109,36.0902,33.8537,35.4794,32.1512,38.1184,35.2810,34.8739,36.1112,32.7755,36.3959,35.9338,36.5245,34.5064,35.2964,37.2025,35.4800,36.8872,33.5814,36.1915,36.5233,36.3048,34.0547,35.6907,32.3404,38.3484,35.4921,35.0801,36.3249,32.9735,36.6160,36.1518,36.7400,34.7133,35.5064,37.4245,35.6936,37.1082,33.7790,36.4068,36.7201,36.5039,34.2420,35.8872,32.5169,38.5612,35.6885,35.2718,36.5231,33.1583,36.8207,36.3548,36.9399,34.9058,35.7017,37.6306,35.8923,37.3132,33.9629,36.6067
