freq (Hz),input noise; V / sqrt(Hz) Rptat2 175.5376  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Rptat2 219.2198  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Rptat2 438.4395  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Rptat2 1753.758  (V / sqrt(Hz))
6.60693,2.66711E-9,2.27439E-9,1.74965E-9,2.36462E-9
6.76083,2.63597E-9,2.24927E-9,1.73642E-9,2.35959E-9
6.91831,2.60526E-9,2.22451E-9,1.72342E-9,2.35468E-9
7.07946,2.57496E-9,2.20009E-9,1.71065E-9,2.34989E-9
7.24436,2.54506E-9,2.17603E-9,1.69811E-9,2.34520E-9
7.41310,2.51558E-9,2.15230E-9,1.68580E-9,2.34062E-9
7.58578,2.48649E-9,2.12892E-9,1.67370E-9,2.33615E-9
7.76247,2.45781E-9,2.10586E-9,1.66182E-9,2.33178E-9
7.94328,2.42951E-9,2.08314E-9,1.65016E-9,2.32751E-9
8.12831,2.40160E-9,2.06075E-9,1.63870E-9,2.32335E-9
8.31764,2.37407E-9,2.03868E-9,1.62746E-9,2.31927E-9
8.51138,2.34692E-9,2.01693E-9,1.61642E-9,2.31530E-9
8.70964,2.32014E-9,1.99550E-9,1.60559E-9,2.31141E-9
8.91251,2.29373E-9,1.97438E-9,1.59495E-9,2.30762E-9
9.12011,2.26769E-9,1.95356E-9,1.58452E-9,2.30392E-9
9.33254,2.24200E-9,1.93305E-9,1.57427E-9,2.30030E-9
9.54993,2.21668E-9,1.91284E-9,1.56422E-9,2.29677E-9
9.77237,2.19170E-9,1.89293E-9,1.55436E-9,2.29332E-9
10.0000,2.16707E-9,1.87332E-9,1.54469E-9,2.28995E-9
10.2329,2.14278E-9,1.85399E-9,1.53519E-9,2.28667E-9
10.4713,2.11884E-9,1.83496E-9,1.52588E-9,2.28346E-9
10.7152,2.09523E-9,1.81620E-9,1.51675E-9,2.28032E-9
10.9648,2.07195E-9,1.79773E-9,1.50779E-9,2.27726E-9
11.2202,2.04899E-9,1.77953E-9,1.49900E-9,2.27427E-9
11.4815,2.02637E-9,1.76161E-9,1.49038E-9,2.27136E-9
11.7490,2.00406E-9,1.74396E-9,1.48193E-9,2.26851E-9
12.0226,1.98207E-9,1.72658E-9,1.47365E-9,2.26573E-9
12.3027,1.96039E-9,1.70946E-9,1.46552E-9,2.26302E-9
12.5893,1.93902E-9,1.69260E-9,1.45756E-9,2.26037E-9
12.8825,1.91795E-9,1.67601E-9,1.44976E-9,2.25778E-9
13.1826,1.89719E-9,1.65966E-9,1.44210E-9,2.25526E-9
13.4896,1.87672E-9,1.64357E-9,1.43460E-9,2.25280E-9
13.8038,1.85655E-9,1.62773E-9,1.42725E-9,2.25039E-9
14.1254,1.83667E-9,1.61214E-9,1.42005E-9,2.24805E-9
14.4544,1.81708E-9,1.59678E-9,1.41299E-9,2.24576E-9
14.7911,1.79777E-9,1.58167E-9,1.40608E-9,2.24352E-9
15.1356,1.77875E-9,1.56680E-9,1.39930E-9,2.24134E-9
15.4882,1.76000E-9,1.55216E-9,1.39266E-9,2.23921E-9
15.8489,1.74152E-9,1.53775E-9,1.38616E-9,2.23713E-9
16.2181,1.72332E-9,1.52358E-9,1.37979E-9,2.23511E-9
16.5959,1.70539E-9,1.50962E-9,1.37355E-9,2.23313E-9
16.9824,1.68772E-9,1.49590E-9,1.36744E-9,2.23120E-9
17.3780,1.67031E-9,1.48239E-9,1.36146E-9,2.22931E-9
17.7828,1.65316E-9,1.46910E-9,1.35560E-9,2.22748E-9
18.1970,1.63627E-9,1.45603E-9,1.34987E-9,2.22568E-9
18.6209,1.61963E-9,1.44317E-9,1.34425E-9,2.22393E-9
19.0546,1.60324E-9,1.43052E-9,1.33875E-9,2.22222E-9
19.4984,1.58710E-9,1.41808E-9,1.33336E-9,2.22056E-9
19.9526,1.57120E-9,1.40584E-9,1.32809E-9,2.21893E-9
20.4174,1.55554E-9,1.39381E-9,1.32294E-9,2.21734E-9
20.8930,1.54012E-9,1.38197E-9,1.31789E-9,2.21580E-9
21.3796,1.52494E-9,1.37034E-9,1.31295E-9,2.21429E-9
21.8776,1.50999E-9,1.35889E-9,1.30811E-9,2.21281E-9
22.3872,1.49527E-9,1.34765E-9,1.30338E-9,2.21138E-9
22.9087,1.48077E-9,1.33659E-9,1.29875E-9,2.20997E-9
23.4423,1.46650E-9,1.32572E-9,1.29422E-9,2.20860E-9
23.9883,1.45246E-9,1.31503E-9,1.28979E-9,2.20727E-9
24.5471,1.43863E-9,1.30453E-9,1.28545E-9,2.20597E-9
25.1189,1.42502E-9,1.29421E-9,1.28121E-9,2.20470E-9
25.7040,1.41162E-9,1.28406E-9,1.27706E-9,2.20346E-9
26.3027,1.39844E-9,1.27410E-9,1.27300E-9,2.20225E-9
26.9153,1.38546E-9,1.26430E-9,1.26903E-9,2.20107E-9
27.5423,1.37269E-9,1.25468E-9,1.26515E-9,2.19992E-9
28.1838,1.36012E-9,1.24523E-9,1.26135E-9,2.19880E-9
28.8403,1.34776E-9,1.23594E-9,1.25764E-9,2.19770E-9
29.5121,1.33559E-9,1.22682E-9,1.25401E-9,2.19663E-9
30.1995,1.32362E-9,1.21786E-9,1.25046E-9,2.19559E-9
30.9030,1.31185E-9,1.20906E-9,1.24699E-9,2.19458E-9
31.6228,1.30026E-9,1.20042E-9,1.24359E-9,2.19358E-9
32.3594,1.28887E-9,1.19193E-9,1.24028E-9,2.19262E-9
33.1131,1.27766E-9,1.18360E-9,1.23703E-9,2.19167E-9
33.8844,1.26664E-9,1.17542E-9,1.23386E-9,2.19075E-9
34.6737,1.25580E-9,1.16739E-9,1.23076E-9,2.18986E-9
35.4813,1.24515E-9,1.15950E-9,1.22773E-9,2.18898E-9
36.3078,1.23466E-9,1.15176E-9,1.22477E-9,2.18813E-9
37.1535,1.22436E-9,1.14417E-9,1.22188E-9,2.18730E-9
38.0189,1.21423E-9,1.13671E-9,1.21905E-9,2.18648E-9
38.9045,1.20427E-9,1.12940E-9,1.21629E-9,2.18569E-9
39.8107,1.19448E-9,1.12222E-9,1.21359E-9,2.18492E-9
40.7380,1.18485E-9,1.11518E-9,1.21095E-9,2.18417E-9
41.6869,1.17539E-9,1.10827E-9,1.20838E-9,2.18343E-9
42.6580,1.16610E-9,1.10149E-9,1.20586E-9,2.18271E-9
43.6516,1.15696E-9,1.09484E-9,1.20340E-9,2.18201E-9
44.6684,1.14798E-9,1.08831E-9,1.20099E-9,2.18133E-9
45.7088,1.13916E-9,1.08192E-9,1.19864E-9,2.18067E-9
46.7735,1.13050E-9,1.07564E-9,1.19635E-9,2.18002E-9
47.8630,1.12198E-9,1.06949E-9,1.19411E-9,2.17939E-9
48.9779,1.11362E-9,1.06346E-9,1.19192E-9,2.17877E-9
50.1187,1.10540E-9,1.05754E-9,1.18978E-9,2.17817E-9
51.2861,1.09733E-9,1.05174E-9,1.18769E-9,2.17758E-9
52.4807,1.08941E-9,1.04606E-9,1.18565E-9,2.17701E-9
53.7032,1.08162E-9,1.04048E-9,1.18366E-9,2.17645E-9
54.9541,1.07398E-9,1.03502E-9,1.18172E-9,2.17591E-9
56.2341,1.06648E-9,1.02967E-9,1.17982E-9,2.17538E-9
57.5440,1.05911E-9,1.02442E-9,1.17796E-9,2.17486E-9
58.8844,1.05187E-9,1.01928E-9,1.17615E-9,2.17435E-9
60.2560,1.04477E-9,1.01424E-9,1.17438E-9,2.17386E-9
61.6595,1.03780E-9,1.00931E-9,1.17265E-9,2.17338E-9
63.0957,1.03096E-9,1.00447E-9,1.17096E-9,2.17291E-9
64.5654,1.02425E-9,999.731E-12,1.16932E-9,2.17246E-9
66.0693,1.01766E-9,995.090E-12,1.16771E-9,2.17201E-9
67.6083,1.01120E-9,990.545E-12,1.16614E-9,2.17158E-9
69.1831,1.00485E-9,986.092E-12,1.16461E-9,2.17115E-9
70.7946,998.630E-12,981.732E-12,1.16311E-9,2.17074E-9
72.4436,992.525E-12,977.462E-12,1.16165E-9,2.17034E-9
74.1310,986.536E-12,973.280E-12,1.16022E-9,2.16995E-9
75.8578,980.662E-12,969.186E-12,1.15883E-9,2.16956E-9
77.6247,974.900E-12,965.178E-12,1.15747E-9,2.16919E-9
79.4328,969.250E-12,961.253E-12,1.15615E-9,2.16883E-9
81.2831,963.709E-12,957.412E-12,1.15485E-9,2.16847E-9
83.1764,958.275E-12,953.651E-12,1.15359E-9,2.16813E-9
85.1138,952.948E-12,949.970E-12,1.15236E-9,2.16779E-9
87.0964,947.725E-12,946.368E-12,1.15115E-9,2.16746E-9
89.1251,942.605E-12,942.842E-12,1.14998E-9,2.16714E-9
91.2011,937.586E-12,939.392E-12,1.14883E-9,2.16682E-9
93.3254,932.667E-12,936.016E-12,1.14771E-9,2.16652E-9
95.4993,927.845E-12,932.713E-12,1.14662E-9,2.16622E-9
97.7237,923.120E-12,929.480E-12,1.14555E-9,2.16593E-9
100.000,918.490E-12,926.318E-12,1.14451E-9,2.16565E-9
102.329,913.953E-12,923.225E-12,1.14350E-9,2.16537E-9
104.713,909.507E-12,920.199E-12,1.14251E-9,2.16510E-9
107.152,905.152E-12,917.239E-12,1.14154E-9,2.16484E-9
109.648,900.885E-12,914.343E-12,1.14060E-9,2.16459E-9
112.202,896.706E-12,911.512E-12,1.13968E-9,2.16434E-9
114.815,892.612E-12,908.742E-12,1.13878E-9,2.16409E-9
117.490,888.602E-12,906.034E-12,1.13790E-9,2.16385E-9
120.226,884.675E-12,903.385E-12,1.13705E-9,2.16362E-9
123.027,880.830E-12,900.796E-12,1.13621E-9,2.16340E-9
125.893,877.064E-12,898.264E-12,1.13540E-9,2.16318E-9
128.825,873.378E-12,895.788E-12,1.13461E-9,2.16296E-9
131.826,869.768E-12,893.368E-12,1.13383E-9,2.16275E-9
134.896,866.234E-12,891.002E-12,1.13308E-9,2.16255E-9
138.038,862.774E-12,888.689E-12,1.13234E-9,2.16235E-9
141.254,859.388E-12,886.428E-12,1.13162E-9,2.16216E-9
144.544,856.073E-12,884.218E-12,1.13092E-9,2.16197E-9
147.911,852.829E-12,882.058E-12,1.13023E-9,2.16178E-9
151.356,849.654E-12,879.947E-12,1.12956E-9,2.16160E-9
154.882,846.547E-12,877.884E-12,1.12891E-9,2.16143E-9
158.489,843.507E-12,875.867E-12,1.12828E-9,2.16126E-9
162.181,840.532E-12,873.897E-12,1.12766E-9,2.16109E-9
165.959,837.621E-12,871.972E-12,1.12705E-9,2.16093E-9
169.824,834.774E-12,870.090E-12,1.12646E-9,2.16077E-9
173.780,831.988E-12,868.252E-12,1.12588E-9,2.16062E-9
177.828,829.263E-12,866.456E-12,1.12532E-9,2.16047E-9
181.970,826.598E-12,864.702E-12,1.12477E-9,2.16032E-9
186.209,823.990E-12,862.988E-12,1.12424E-9,2.16018E-9
190.546,821.440E-12,861.313E-12,1.12372E-9,2.16004E-9
194.984,818.947E-12,859.677E-12,1.12321E-9,2.15990E-9
199.526,816.508E-12,858.079E-12,1.12271E-9,2.15977E-9
204.174,814.123E-12,856.518E-12,1.12223E-9,2.15964E-9
208.930,811.791E-12,854.994E-12,1.12176E-9,2.15951E-9
213.796,809.511E-12,853.505E-12,1.12130E-9,2.15939E-9
218.776,807.282E-12,852.051E-12,1.12085E-9,2.15927E-9
223.872,805.102E-12,850.630E-12,1.12041E-9,2.15915E-9
229.087,802.972E-12,849.243E-12,1.11998E-9,2.15904E-9
234.423,800.889E-12,847.889E-12,1.11957E-9,2.15893E-9
239.883,798.853E-12,846.566E-12,1.11916E-9,2.15882E-9
245.471,796.863E-12,845.274E-12,1.11876E-9,2.15871E-9
251.189,794.918E-12,844.013E-12,1.11838E-9,2.15861E-9
257.040,793.017E-12,842.781E-12,1.11800E-9,2.15851E-9
