freq (Hz),input noise; V / sqrt(Hz) mcparamset 1  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 2  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 3  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 4  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 5  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 6  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 7  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 8  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 9  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 10  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 11  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 12  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 13  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 14  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 15  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 16  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 17  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 18  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 19  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 20  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 21  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 22  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 23  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 24  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 25  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 26  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 27  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 28  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 29  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 30  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 31  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 32  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 33  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 34  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 35  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 36  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 37  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 38  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 39  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 40  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 41  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 42  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 43  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 44  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 45  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 46  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 47  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 48  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 49  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 50  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 51  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 52  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 53  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 54  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 55  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 56  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 57  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 58  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 59  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 60  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 61  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 62  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 63  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 64  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 65  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 66  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 67  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 68  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 69  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 70  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 71  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 72  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 73  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 74  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 75  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 76  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 77  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 78  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 79  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 80  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 81  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 82  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 83  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 84  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 85  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 86  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 87  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 88  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 89  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 90  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 91  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 92  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 93  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 94  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 95  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 96  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 97  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 98  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 99  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 100  (V / sqrt(Hz))
1.00000,5.22049E-9,7.05959E-9,11.9447E-9,7.38431E-9,16.9753E-9,25.4291E-9,24.8165E-9,7.53457E-9,6.90771E-9,12.9535E-9,4.24243E-9,7.36533E-9,18.0961E-9,10.7166E-9,5.77987E-9,9.73106E-9,8.88370E-9,16.6795E-9,8.34955E-9,10.1993E-9,9.54484E-9,15.3917E-9,4.37013E-9,20.2656E-9,6.83319E-9,7.17332E-9,9.33014E-9,6.71791E-9,7.15461E-9,6.18269E-9,10.8301E-9,16.3790E-9,3.10700E-9,10.8971E-9,5.33380E-9,5.32493E-9,4.61120E-9,38.8689E-9,18.6823E-9,6.21194E-9,6.42426E-9,5.84536E-9,5.90504E-9,11.6248E-9,11.4140E-9,6.04251E-9,4.24893E-9,19.8739E-9,5.38064E-9,5.44665E-9,3.97110E-9,29.3191E-9,21.1074E-9,15.7990E-9,4.99609E-9,6.52107E-9,10.8540E-9,15.4670E-9,8.31972E-9,12.6271E-9,12.9317E-9,11.6042E-9,13.0768E-9,5.66748E-9,4.14250E-9,15.0387E-9,25.4038E-9,7.80540E-9,14.6186E-9,5.70369E-9,5.02152E-9,5.13280E-9,18.3310E-9,19.4894E-9,3.86054E-9,4.97476E-9,4.43759E-9,21.4054E-9,14.9386E-9,11.9123E-9,14.1283E-9,5.64670E-9,3.64235E-9,13.2246E-9,12.4863E-9,3.83287E-9,4.72179E-9,11.7873E-9,10.4500E-9,6.74115E-9,7.92317E-9,17.9824E-9,5.65840E-9,8.65216E-9,22.3980E-9,4.34347E-9,4.15800E-9,9.90107E-9,7.93985E-9,13.2922E-9
1.25893,4.62701E-9,6.21649E-9,10.4824E-9,6.49680E-9,14.8791E-9,22.2800E-9,21.7441E-9,6.62647E-9,6.08765E-9,11.3654E-9,3.76606E-9,6.48159E-9,15.8607E-9,9.41301E-9,5.10110E-9,8.54690E-9,7.80629E-9,14.6208E-9,7.34073E-9,8.95877E-9,8.38631E-9,13.4964E-9,3.87608E-9,17.7588E-9,6.01253E-9,6.31443E-9,8.19690E-9,5.91810E-9,6.30612E-9,5.45507E-9,9.50424E-9,14.3593E-9,2.78413E-9,9.56409E-9,4.72226E-9,4.70915E-9,4.09042E-9,34.0469E-9,16.3774E-9,5.48083E-9,5.65880E-9,5.16375E-9,5.21278E-9,10.2004E-9,10.0170E-9,5.33177E-9,3.77787E-9,17.4158E-9,4.75550E-9,4.81443E-9,3.53488E-9,25.6864E-9,18.4986E-9,13.8497E-9,4.42663E-9,5.74958E-9,9.52986E-9,13.5608E-9,7.31145E-9,11.0768E-9,11.3448E-9,10.1812E-9,11.4732E-9,5.00426E-9,3.68003E-9,13.1862E-9,22.2614E-9,6.86337E-9,12.8199E-9,5.03899E-9,4.45222E-9,4.54273E-9,16.0669E-9,17.0787E-9,3.43937E-9,4.39964E-9,3.94218E-9,18.7605E-9,13.0985E-9,10.4544E-9,12.3907E-9,4.99136E-9,3.24909E-9,11.6003E-9,10.9542E-9,3.41157E-9,4.18072E-9,10.3420E-9,9.17735E-9,5.94562E-9,6.96648E-9,15.7619E-9,5.01133E-9,7.60365E-9,19.6264E-9,3.85659E-9,3.69788E-9,8.69551E-9,6.98066E-9,11.6604E-9
1.58489,4.10771E-9,5.47961E-9,9.20264E-9,5.72124E-9,13.0442E-9,19.5226E-9,19.0538E-9,5.83307E-9,5.37041E-9,9.97536E-9,3.35152E-9,5.70925E-9,13.9038E-9,8.27179E-9,4.50854E-9,7.51111E-9,6.86416E-9,12.8186E-9,6.45870E-9,7.87310E-9,7.37258E-9,11.8372E-9,3.44633E-9,15.5642E-9,5.29616E-9,5.56387E-9,7.20560E-9,5.21949E-9,5.56381E-9,4.81938E-9,8.34453E-9,12.5911E-9,2.50506E-9,8.39793E-9,4.18773E-9,4.17161E-9,3.63613E-9,29.8241E-9,14.3591E-9,4.84199E-9,4.99079E-9,4.56798E-9,4.60809E-9,8.95400E-9,8.79447E-9,4.71098E-9,3.36753E-9,15.2638E-9,4.21002E-9,4.26276E-9,3.15519E-9,22.5053E-9,16.2144E-9,12.1435E-9,3.92952E-9,5.07543E-9,8.37114E-9,11.8923E-9,6.43002E-9,9.72013E-9,9.95586E-9,8.93617E-9,10.0696E-9,4.42521E-9,3.27763E-9,11.5647E-9,19.5095E-9,6.04035E-9,11.2453E-9,4.45838E-9,3.95474E-9,4.02749E-9,14.0848E-9,14.9683E-9,3.07321E-9,3.89877E-9,3.50990E-9,16.4444E-9,11.4878E-9,9.17850E-9,10.8697E-9,4.41852E-9,2.90757E-9,10.1784E-9,9.61328E-9,3.04561E-9,3.70931E-9,9.07735E-9,8.06346E-9,5.24994E-9,6.13050E-9,13.8179E-9,4.44460E-9,6.68689E-9,17.1996E-9,3.43239E-9,3.29696E-9,7.64088E-9,6.14247E-9,10.2320E-9
1.99526,3.65415E-9,4.83629E-9,8.08313E-9,5.04418E-9,11.4385E-9,17.1083E-9,16.6982E-9,5.14057E-9,4.74380E-9,8.75905E-9,2.99177E-9,5.03497E-9,12.1910E-9,7.27325E-9,3.99207E-9,6.60567E-9,6.04093E-9,11.2414E-9,5.68818E-9,6.92348E-9,6.48609E-9,10.3851E-9,3.07352E-9,13.6431E-9,4.67157E-9,4.90868E-9,6.33904E-9,4.61003E-9,4.91510E-9,4.26479E-9,7.33067E-9,11.0435E-9,2.26492E-9,7.37824E-9,3.72136E-9,3.70322E-9,3.24078E-9,26.1264E-9,12.5920E-9,4.28456E-9,4.40861E-9,4.04805E-9,4.08071E-9,7.86390E-9,7.72519E-9,4.16956E-9,3.01108E-9,13.3801E-9,3.73492E-9,3.78227E-9,2.82568E-9,19.7197E-9,14.2145E-9,10.6504E-9,3.49646E-9,4.48710E-9,7.35771E-9,10.4321E-9,5.66010E-9,8.53322E-9,8.74057E-9,7.84732E-9,8.84144E-9,3.92048E-9,2.92849E-9,10.1459E-9,17.0997E-9,5.32202E-9,9.86714E-9,3.95203E-9,3.52089E-9,3.57844E-9,12.3499E-9,13.1211E-9,2.75592E-9,3.46354E-9,3.13365E-9,14.4165E-9,10.0783E-9,8.06237E-9,9.53893E-9,3.91860E-9,2.61203E-9,8.93431E-9,8.44023E-9,2.72877E-9,3.29953E-9,7.97123E-9,7.08899E-9,4.64234E-9,5.40069E-9,12.1162E-9,3.94904E-9,5.88595E-9,15.0750E-9,3.06378E-9,2.94860E-9,6.71883E-9,5.41068E-9,8.98198E-9
2.51189,3.25892E-9,4.27543E-9,7.10433E-9,4.45388E-9,10.0336E-9,14.9948E-9,14.6361E-9,4.53690E-9,4.19714E-9,7.69528E-9,2.68059E-9,4.44707E-9,10.6922E-9,6.40012E-9,3.54281E-9,5.81480E-9,5.32227E-9,9.86133E-9,5.01578E-9,6.09346E-9,5.71149E-9,9.11452E-9,2.75117E-9,11.9618E-9,4.12785E-9,4.33753E-9,5.58215E-9,4.07921E-9,4.34898E-9,3.78184E-9,6.44492E-9,9.68926E-9,2.05937E-9,6.48721E-9,3.31538E-9,3.29604E-9,2.89770E-9,22.8885E-9,11.0452E-9,3.79902E-9,3.90213E-9,3.59517E-9,3.62163E-9,6.91100E-9,6.79046E-9,3.69823E-9,2.70249E-9,11.7315E-9,3.32207E-9,3.36474E-9,2.54078E-9,17.2808E-9,12.4639E-9,9.34415E-9,3.12018E-9,3.97451E-9,6.47193E-9,9.15471E-9,4.98827E-9,7.49535E-9,7.67772E-9,6.89558E-9,7.76722E-9,3.48143E-9,2.62661E-9,8.90470E-9,14.9897E-9,4.69583E-9,8.66135E-9,3.51135E-9,3.14349E-9,3.18801E-9,10.8317E-9,11.5045E-9,2.48204E-9,3.08637E-9,2.80715E-9,12.6411E-9,8.84526E-9,7.08655E-9,8.37491E-9,3.48320E-9,2.35734E-9,7.84611E-9,7.41450E-9,2.45551E-9,2.94432E-9,7.00429E-9,6.23705E-9,4.11250E-9,4.76432E-9,10.6272E-9,3.51656E-9,5.18688E-9,13.2153E-9,2.74448E-9,2.64693E-9,5.91332E-9,4.77255E-9,7.88861E-9
3.16228,2.91546E-9,3.78735E-9,6.24916E-9,3.94007E-9,8.80485E-9,13.1448E-9,12.8312E-9,4.01152E-9,3.72108E-9,6.76547E-9,2.41254E-9,3.93536E-9,9.38117E-9,5.63727E-9,3.15300E-9,5.12473E-9,4.69566E-9,8.65426E-9,4.42981E-9,5.36862E-9,5.03534E-9,8.00333E-9,2.47356E-9,10.4907E-9,3.65543E-9,3.84052E-9,4.92178E-9,3.61780E-9,3.85579E-9,3.36223E-9,5.67174E-9,8.50469E-9,1.88446E-9,5.70924E-9,2.96296E-9,2.94308E-9,2.60102E-9,20.0535E-9,9.69170E-9,3.37705E-9,3.46248E-9,3.20165E-9,3.22297E-9,6.07864E-9,5.97396E-9,3.28889E-9,2.43643E-9,10.2891E-9,2.96433E-9,3.00295E-9,2.29551E-9,15.1456E-9,10.9320E-9,8.20181E-9,2.79426E-9,3.52885E-9,5.69838E-9,8.03766E-9,4.40279E-9,6.58836E-9,6.74875E-9,6.06428E-9,6.82825E-9,3.10050E-9,2.36668E-9,7.81948E-9,13.1426E-9,4.15084E-9,7.60683E-9,3.12880E-9,2.81621E-9,2.84955E-9,9.50352E-9,10.0900E-9,2.24674E-9,2.76061E-9,2.52488E-9,11.0872E-9,7.76704E-9,6.23399E-9,7.35731E-9,3.10493E-9,2.13895E-9,6.89484E-9,6.51816E-9,2.22096E-9,2.63748E-9,6.15960E-9,5.49285E-9,3.65139E-9,4.21028E-9,9.32448E-9,3.14008E-9,4.57751E-9,11.5877E-9,2.46897E-9,2.38675E-9,5.21031E-9,4.21692E-9,6.93275E-9
3.98107,2.61802E-9,3.36355E-9,5.50269E-9,3.49378E-9,7.73074E-9,11.5258E-9,11.2516E-9,3.55522E-9,3.30744E-9,5.95340E-9,2.18273E-9,3.49090E-9,8.23478E-9,4.97150E-9,2.81580E-9,4.52341E-9,4.15017E-9,7.59898E-9,3.92004E-9,4.73639E-9,4.44591E-9,7.03205E-9,2.23562E-9,9.20394E-9,3.24596E-9,3.40897E-9,4.34640E-9,3.21774E-9,3.42710E-9,2.99867E-9,4.99756E-9,7.46902E-9,1.73664E-9,5.03072E-9,2.65808E-9,2.63819E-9,2.34556E-9,17.5716E-9,8.50771E-9,3.01134E-9,3.08189E-9,2.86072E-9,2.87782E-9,5.35224E-9,5.26142E-9,2.93441E-9,2.20815E-9,9.02746E-9,2.65543E-9,2.69057E-9,2.08544E-9,13.2767E-9,9.59172E-9,7.20334E-9,2.51306E-9,3.14239E-9,5.02358E-9,7.06139E-9,3.89343E-9,5.79636E-9,5.93740E-9,5.33885E-9,6.00811E-9,2.77103E-9,2.14397E-9,6.87116E-9,11.5259E-9,3.67748E-9,6.68515E-9,2.79777E-9,2.53347E-9,2.55719E-9,8.34213E-9,8.85296E-9,2.04568E-9,2.48040E-9,2.28190E-9,9.72746E-9,6.82474E-9,5.48983E-9,6.46830E-9,2.77733E-9,1.95276E-9,6.06383E-9,5.73552E-9,2.02073E-9,2.37352E-9,5.42237E-9,4.84347E-9,3.25109E-9,3.72885E-9,8.18532E-9,2.81334E-9,4.04718E-9,10.1637E-9,2.23233E-9,2.16344E-9,4.59754E-9,3.73405E-9,6.09770E-9
5.01187,2.36148E-9,2.99660E-9,4.85184E-9,3.10713E-9,6.79235E-9,10.1094E-9,9.86978E-9,3.15992E-9,2.94903E-9,5.24487E-9,1.98681E-9,3.10587E-9,7.23291E-9,4.39125E-9,2.52522E-9,4.00030E-9,3.67622E-9,6.67695E-9,3.47755E-9,4.18575E-9,3.93292E-9,6.18366E-9,2.03283E-9,8.07891E-9,2.89213E-9,3.03530E-9,3.84597E-9,2.87197E-9,3.05548E-9,2.68478E-9,4.41053E-9,6.56409E-9,1.61261E-9,4.43973E-9,2.39542E-9,2.37593E-9,2.12667E-9,15.3989E-9,7.47252E-9,2.69547E-9,2.75354E-9,2.56643E-9,2.58007E-9,4.71907E-9,4.64036E-9,2.62854E-9,2.01337E-9,7.92445E-9,2.38983E-9,2.42199E-9,1.90659E-9,11.6410E-9,8.41964E-9,6.33117E-9,2.27156E-9,2.80835E-9,4.43573E-9,6.20876E-9,3.45122E-9,5.10548E-9,5.22949E-9,4.70656E-9,5.29248E-9,2.48717E-9,1.95425E-9,6.04310E-9,10.1112E-9,3.26735E-9,5.88016E-9,2.51240E-9,2.29030E-9,2.30575E-9,7.32706E-9,7.77146E-9,1.87494E-9,2.24054E-9,2.07384E-9,8.53814E-9,6.00186E-9,4.84103E-9,5.69229E-9,2.49466E-9,1.79505E-9,5.33856E-9,5.05286E-9,1.85086E-9,2.14759E-9,4.77968E-9,4.27761E-9,2.90464E-9,3.31153E-9,7.18968E-9,2.53080E-9,3.58659E-9,8.91832E-9,2.03019E-9,1.97285E-9,4.06427E-9,3.31541E-9,5.36886E-9
6.30957,2.14130E-9,2.67996E-9,4.28522E-9,2.77323E-9,5.97315E-9,8.87060E-9,8.66131E-9,2.81856E-9,2.63954E-9,4.62747E-9,1.82086E-9,2.77341E-9,6.35795E-9,3.88640E-9,2.27594E-9,3.54620E-9,3.26544E-9,5.87197E-9,3.09450E-9,3.70708E-9,3.48740E-9,5.44328E-9,1.86108E-9,7.09581E-9,2.58751E-9,2.71283E-9,3.41168E-9,2.57424E-9,2.73442E-9,2.41489E-9,3.90030E-9,5.77401E-9,1.50936E-9,3.92588E-9,2.17023E-9,2.15149E-9,1.94021E-9,13.4972E-9,6.56798E-9,2.42377E-9,2.47144E-9,2.31349E-9,2.32435E-9,4.16801E-9,4.09989E-9,2.36573E-9,1.84825E-9,6.96064E-9,2.16260E-9,2.19223E-9,1.75531E-9,10.2100E-9,7.39517E-9,5.56999E-9,2.06526E-9,2.52073E-9,3.92454E-9,5.46478E-9,3.06831E-9,4.50359E-9,4.61259E-9,4.15628E-9,4.66883E-9,2.24372E-9,1.79367E-9,5.32077E-9,8.87383E-9,2.91314E-9,5.17775E-9,2.26752E-9,2.08226E-9,2.09059E-9,6.44050E-9,6.82650E-9,1.73095E-9,2.03639E-9,1.89673E-9,7.49834E-9,5.28392E-9,4.27624E-9,5.01567E-9,2.25186E-9,1.66241E-9,4.70630E-9,4.45820E-9,1.70776E-9,1.95530E-9,4.22022E-9,3.78539E-9,2.60593E-9,2.95088E-9,6.32008E-9,2.28757E-9,3.18759E-9,7.82955E-9,1.85856E-9,1.81122E-9,3.60114E-9,2.95355E-9,4.73346E-9
7.94328,1.95337E-9,2.40789E-9,3.79286E-9,2.48603E-9,5.25872E-9,7.78769E-9,7.60497E-9,2.52492E-9,2.37341E-9,4.09037E-9,1.68128E-9,2.48749E-9,5.59451E-9,3.44812E-9,2.06324E-9,3.15305E-9,2.91050E-9,5.16986E-9,2.76402E-9,3.29197E-9,3.10149E-9,4.79791E-9,1.71667E-9,6.23734E-9,2.32643E-9,2.43570E-9,3.03583E-9,2.31907E-9,2.45817E-9,2.18400E-9,3.45780E-9,5.08491E-9,1.42408E-9,3.48008E-9,1.97827E-9,1.96051E-9,1.78241E-9,11.8332E-9,5.77824E-9,2.19121E-9,2.23025E-9,2.09723E-9,2.10586E-9,3.68932E-9,3.63046E-9,2.14108E-9,1.70925E-9,6.11908E-9,1.96932E-9,1.99682E-9,1.62830E-9,8.95838E-9,6.50031E-9,4.90639E-9,1.89013E-9,2.27425E-9,3.48100E-9,4.81637E-9,2.73785E-9,3.98009E-9,4.07588E-9,3.67830E-9,4.12622E-9,2.03607E-9,1.65874E-9,4.69144E-9,7.79197E-9,2.60838E-9,4.56561E-9,2.05853E-9,1.90534E-9,1.90756E-9,5.66684E-9,6.00146E-9,1.61041E-9,1.86376E-9,1.74696E-9,6.58982E-9,4.65833E-9,3.78550E-9,4.42652E-9,2.04441E-9,1.55171E-9,4.15595E-9,3.94108E-9,1.58811E-9,1.79273E-9,3.73413E-9,3.35816E-9,2.34952E-9,2.64035E-9,5.56122E-9,2.07925E-9,2.84303E-9,6.87827E-9,1.71386E-9,1.67510E-9,3.19995E-9,2.64190E-9,4.18034E-9
