Rptat2 ,/R31/PLUS (A)
660.693,267.102E-6
645.654,273.217E-6
630.957,279.472E-6
616.595,285.872E-6
602.560,292.420E-6
588.844,299.120E-6
575.440,305.974E-6
562.341,312.987E-6
549.541,320.162E-6
537.032,327.503E-6
524.807,335.013E-6
512.861,342.698E-6
501.187,350.561E-6
489.779,358.606E-6
478.630,366.837E-6
467.735,375.259E-6
457.088,383.876E-6
446.684,392.693E-6
436.516,401.715E-6
426.580,410.946E-6
416.869,420.391E-6
407.380,430.055E-6
398.107,439.943E-6
389.045,450.062E-6
380.189,460.415E-6
371.535,471.009E-6
363.078,481.850E-6
354.813,492.942E-6
346.737,504.291E-6
338.844,515.905E-6
331.131,527.790E-6
323.594,539.951E-6
316.228,552.396E-6
309.030,565.131E-6
301.995,578.162E-6
295.121,591.497E-6
288.403,605.143E-6
281.838,619.108E-6
275.423,633.398E-6
269.153,648.022E-6
263.027,662.988E-6
257.040,678.303E-6
251.189,693.976E-6
245.471,710.016E-6
239.883,726.431E-6
234.423,743.230E-6
229.087,760.422E-6
223.872,778.017E-6
218.776,796.024E-6
213.796,814.453E-6
208.930,833.314E-6
204.174,852.618E-6
199.526,872.375E-6
194.984,892.595E-6
190.546,913.291E-6
186.209,934.474E-6
181.970,956.154E-6
177.828,978.345E-6
173.780,1.00106E-3
169.824,1.02431E-3
165.959,1.04810E-3
162.181,1.07246E-3
158.489,1.09739E-3
154.882,1.12291E-3
151.356,1.14903E-3
147.911,1.17577E-3
144.544,1.20315E-3
141.254,1.23117E-3
138.038,1.25985E-3
134.896,1.28922E-3
131.826,1.31928E-3
128.825,1.35005E-3
125.893,1.38155E-3
123.027,1.41381E-3
120.226,1.44683E-3
117.490,1.48063E-3
114.815,1.51524E-3
112.202,1.55068E-3
109.648,1.58696E-3
107.152,1.62411E-3
104.713,1.66215E-3
102.329,1.70111E-3
100.000,1.74099E-3
97.7237,1.78182E-3
95.4993,1.82364E-3
93.3254,1.86646E-3
91.2011,1.91031E-3
89.1251,1.95521E-3
87.0964,2.00120E-3
85.1138,2.04830E-3
83.1764,2.09655E-3
81.2831,2.14596E-3
79.4328,2.19659E-3
77.6247,2.24846E-3
75.8578,2.30161E-3
74.1310,2.35612E-3
72.4436,2.41204E-3
70.7946,2.46959E-3
69.1831,2.52882E-3
67.6083,2.59011E-3
66.0693,2.65397E-3
64.5654,2.72134E-3
63.0957,2.79376E-3
61.6595,2.87354E-3
60.2560,2.96339E-3
58.8844,3.06435E-3
57.5440,3.17328E-3
56.2341,3.28581E-3
54.9541,3.40173E-3
53.7032,3.52419E-3
52.4807,3.65577E-3
51.2861,3.79660E-3
50.1187,3.94290E-3
48.9779,4.09241E-3
47.8630,4.24381E-3
46.7735,4.39616E-3
45.7088,4.54893E-3
44.6684,4.70201E-3
43.6516,4.85543E-3
42.6580,5.00926E-3
41.6869,5.16358E-3
40.7380,5.31846E-3
39.8107,5.47395E-3
38.9045,5.63005E-3
38.0189,5.78677E-3
37.1535,5.94405E-3
36.3078,6.10182E-3
35.4813,6.25998E-3
34.6737,6.41841E-3
33.8844,6.57695E-3
33.1131,6.73543E-3
32.3594,6.89364E-3
31.6228,7.05138E-3
30.9030,7.20840E-3
30.1995,7.36447E-3
29.5121,7.51932E-3
28.8403,7.67268E-3
28.1838,7.82430E-3
27.5423,7.97390E-3
26.9153,8.12124E-3
26.3027,8.26607E-3
25.7040,8.40816E-3
25.1189,8.54730E-3
24.5471,8.68330E-3
23.9883,8.81601E-3
23.4423,8.94530E-3
22.9087,9.07105E-3
22.3872,9.19320E-3
21.8776,9.31170E-3
21.3796,9.42653E-3
20.8930,9.53769E-3
20.4174,9.64520E-3
19.9526,9.74913E-3
19.4984,9.84954E-3
19.0546,9.94651E-3
18.6209,10.0401E-3
18.1970,10.1305E-3
17.7828,10.2178E-3
17.3780,10.3021E-3
16.9824,10.3836E-3
16.5959,10.4623E-3
16.2181,10.5384E-3
15.8489,10.6120E-3
15.4882,10.6833E-3
15.1356,10.7524E-3
14.7911,10.8195E-3
14.4544,10.8846E-3
14.1254,10.9479E-3
13.8038,11.0095E-3
13.4896,11.0695E-3
13.1826,11.1281E-3
12.8825,11.1854E-3
12.5893,11.2414E-3
12.3027,11.2963E-3
12.0226,11.3502E-3
11.7490,11.4031E-3
11.4815,11.4553E-3
11.2202,11.5067E-3
10.9648,11.5575E-3
10.7152,11.6078E-3
10.4713,11.6576E-3
10.2329,11.7071E-3
10.0000,11.7563E-3
9.77237,11.8052E-3
9.54993,11.8541E-3
9.33254,11.9029E-3
9.12011,11.9515E-3
8.91251,11.9989E-3
8.70964,12.0403E-3
8.51138,12.0723E-3
8.31764,12.0974E-3
8.12831,12.1182E-3
7.94328,12.1358E-3
7.76247,12.1505E-3
7.58578,12.1626E-3
7.41310,12.1723E-3
7.24436,12.1800E-3
7.07946,12.1860E-3
6.91831,12.1905E-3
6.76083,12.1938E-3
6.60693,12.1959E-3
6.45654,12.1971E-3
6.30957,12.1974E-3
6.16595,12.1970E-3
6.02560,12.1959E-3
5.88844,12.1941E-3
5.75440,12.1917E-3
5.62341,12.1888E-3
5.49541,12.1854E-3
5.37032,12.1815E-3
5.24807,12.1772E-3
5.12861,12.1725E-3
5.01187,12.1674E-3
4.89779,12.1619E-3
4.78630,12.1561E-3
4.67735,12.1499E-3
4.57088,12.1435E-3
4.46684,12.1367E-3
4.36516,12.1296E-3
4.26580,12.1222E-3
4.16869,12.1146E-3
4.07380,12.1068E-3
3.98107,12.0986E-3
3.89045,12.0901E-3
3.80189,12.0815E-3
3.71535,12.0725E-3
3.63078,12.0633E-3
3.54813,12.0539E-3
3.46737,12.0443E-3
3.38844,12.0344E-3
3.31131,12.0243E-3
3.23594,12.0140E-3
3.16228,12.0035E-3
3.09030,11.9927E-3
3.01995,11.9818E-3
2.95121,11.9707E-3
2.88403,11.9594E-3
2.81838,11.9482E-3
2.75423,11.9377E-3
2.69153,11.9276E-3
2.63027,11.9184E-3
2.57040,11.9100E-3
2.51189,11.9020E-3
2.45471,11.8944E-3
2.39883,11.8868E-3
2.34423,11.8796E-3
2.29087,11.8725E-3
2.23872,11.8653E-3
2.18776,11.8582E-3
2.13796,11.8511E-3
2.08930,11.8439E-3
2.04174,11.8367E-3
1.99526,11.8294E-3
1.94984,11.8220E-3
1.90546,11.8146E-3
1.86209,11.8071E-3
1.81970,11.7995E-3
1.77828,11.7918E-3
1.73780,11.7840E-3
1.69824,11.7761E-3
1.65959,11.7681E-3
1.62181,11.7599E-3
1.58489,11.7517E-3
1.54882,11.7433E-3
1.51356,11.7349E-3
1.47911,11.7263E-3
1.44544,11.7176E-3
1.41254,11.7087E-3
1.38038,11.6997E-3
1.34896,11.6906E-3
1.31826,11.6814E-3
1.28825,11.6720E-3
1.25893,11.6625E-3
1.23027,11.6528E-3
1.20226,11.6430E-3
1.17490,11.6331E-3
1.14815,11.6230E-3
1.12202,11.6127E-3
1.09648,11.6023E-3
1.07152,11.5918E-3
1.04713,11.5811E-3
1.02329,11.5702E-3
1.00000,11.5592E-3
