Rptat2 ,input noise; V / sqrt(Hz) (V / sqrt(Hz)),input noise; V / sqrt(Hz) (V / sqrt(Hz)),input noise; V / sqrt(Hz) (V / sqrt(Hz)),input noise; V / sqrt(Hz) (V / sqrt(Hz))
9.77237E3,5.55940E-9,5.01110E-9,4.96495E-9,4.96126E-9
9.54993E3,5.51093E-9,4.95631E-9,4.90957E-9,4.90584E-9
9.33254E3,5.46317E-9,4.90217E-9,4.85483E-9,4.85105E-9
9.12011E3,5.41609E-9,4.84865E-9,4.80070E-9,4.79687E-9
8.91251E3,5.36970E-9,4.79575E-9,4.74719E-9,4.74331E-9
8.70964E3,5.32398E-9,4.74347E-9,4.69428E-9,4.69036E-9
8.51138E3,5.27894E-9,4.69180E-9,4.64198E-9,4.63800E-9
8.31764E3,5.23457E-9,4.64073E-9,4.59027E-9,4.58624E-9
8.12831E3,5.19085E-9,4.59026E-9,4.53915E-9,4.53506E-9
7.94328E3,5.14778E-9,4.54037E-9,4.48860E-9,4.48447E-9
7.76247E3,5.10536E-9,4.49107E-9,4.43863E-9,4.43444E-9
7.58578E3,5.06358E-9,4.44234E-9,4.38923E-9,4.38498E-9
7.41310E3,5.02244E-9,4.39419E-9,4.34038E-9,4.33608E-9
7.24436E3,4.98192E-9,4.34659E-9,4.29209E-9,4.28774E-9
7.07946E3,4.94202E-9,4.29955E-9,4.24435E-9,4.23994E-9
6.91831E3,4.90273E-9,4.25306E-9,4.19715E-9,4.19268E-9
6.76083E3,4.86406E-9,4.20712E-9,4.15048E-9,4.14595E-9
6.60693E3,4.82599E-9,4.16172E-9,4.10435E-9,4.09975E-9
6.45654E3,4.78852E-9,4.11685E-9,4.05873E-9,4.05408E-9
6.30957E3,4.75163E-9,4.07250E-9,4.01363E-9,4.00892E-9
6.16595E3,4.71534E-9,4.02868E-9,3.96904E-9,3.96427E-9
6.02560E3,4.67962E-9,3.98537E-9,3.92496E-9,3.92012E-9
5.88844E3,4.64448E-9,3.94257E-9,3.88138E-9,3.87647E-9
5.75440E3,4.60991E-9,3.90028E-9,3.83829E-9,3.83332E-9
5.62341E3,4.57591E-9,3.85848E-9,3.79568E-9,3.79065E-9
5.49541E3,4.54246E-9,3.81718E-9,3.75356E-9,3.74846E-9
5.37032E3,4.50957E-9,3.77636E-9,3.71192E-9,3.70675E-9
5.24807E3,4.47722E-9,3.73603E-9,3.67074E-9,3.66551E-9
5.12861E3,4.44542E-9,3.69617E-9,3.63003E-9,3.62473E-9
5.01187E3,4.41416E-9,3.65679E-9,3.58979E-9,3.58441E-9
4.89779E3,4.38343E-9,3.61787E-9,3.54999E-9,3.54455E-9
4.78630E3,4.35323E-9,3.57942E-9,3.51065E-9,3.50513E-9
4.67735E3,4.32355E-9,3.54142E-9,3.47175E-9,3.46616E-9
4.57088E3,4.29439E-9,3.50388E-9,3.43329E-9,3.42762E-9
4.46684E3,4.26575E-9,3.46678E-9,3.39527E-9,3.38952E-9
4.36516E3,4.23762E-9,3.43013E-9,3.35767E-9,3.35185E-9
4.26580E3,4.20999E-9,3.39391E-9,3.32050E-9,3.31460E-9
4.16869E3,4.18286E-9,3.35813E-9,3.28375E-9,3.27777E-9
4.07380E3,4.15623E-9,3.32278E-9,3.24741E-9,3.24135E-9
3.98107E3,4.13010E-9,3.28785E-9,3.21149E-9,3.20534E-9
3.89045E3,4.10445E-9,3.25334E-9,3.17597E-9,3.16974E-9
3.80189E3,4.07929E-9,3.21924E-9,3.14085E-9,3.13453E-9
3.71535E3,4.05460E-9,3.18556E-9,3.10612E-9,3.09972E-9
3.63078E3,4.03040E-9,3.15228E-9,3.07179E-9,3.06530E-9
3.54813E3,4.00666E-9,3.11941E-9,3.03784E-9,3.03127E-9
3.46737E3,3.98340E-9,3.08694E-9,3.00428E-9,2.99762E-9
3.38844E3,3.96060E-9,3.05486E-9,2.97110E-9,2.96434E-9
3.31131E3,3.93826E-9,3.02317E-9,2.93829E-9,2.93144E-9
3.23594E3,3.91639E-9,2.99187E-9,2.90585E-9,2.89890E-9
3.16228E3,3.89497E-9,2.96095E-9,2.87377E-9,2.86673E-9
3.09030E3,3.87400E-9,2.93041E-9,2.84206E-9,2.83492E-9
3.01995E3,3.85348E-9,2.90025E-9,2.81070E-9,2.80347E-9
2.95121E3,3.83341E-9,2.87046E-9,2.77970E-9,2.77237E-9
2.88403E3,3.81378E-9,2.84104E-9,2.74905E-9,2.74161E-9
2.81838E3,3.79460E-9,2.81198E-9,2.71874E-9,2.71120E-9
2.75423E3,3.77585E-9,2.78328E-9,2.68878E-9,2.68113E-9
2.69153E3,3.75754E-9,2.75495E-9,2.65915E-9,2.65139E-9
2.63027E3,3.73967E-9,2.72696E-9,2.62986E-9,2.62199E-9
2.57040E3,3.72223E-9,2.69933E-9,2.60089E-9,2.59291E-9
2.51189E3,3.70522E-9,2.67205E-9,2.57226E-9,2.56416E-9
2.45471E3,3.68864E-9,2.64512E-9,2.54394E-9,2.53573E-9
2.39883E3,3.67249E-9,2.61853E-9,2.51595E-9,2.50762E-9
2.34423E3,3.65676E-9,2.59227E-9,2.48827E-9,2.47982E-9
2.29087E3,3.64146E-9,2.56636E-9,2.46090E-9,2.45233E-9
2.23872E3,3.62659E-9,2.54078E-9,2.43385E-9,2.42515E-9
2.18776E3,3.61214E-9,2.51553E-9,2.40710E-9,2.39827E-9
2.13796E3,3.59811E-9,2.49061E-9,2.38065E-9,2.37169E-9
2.08930E3,3.58451E-9,2.46601E-9,2.35450E-9,2.34541E-9
2.04174E3,3.57133E-9,2.44174E-9,2.32864E-9,2.31942E-9
1.99526E3,3.55857E-9,2.41779E-9,2.30308E-9,2.29372E-9
1.94984E3,3.54624E-9,2.39416E-9,2.27781E-9,2.26831E-9
1.90546E3,3.53433E-9,2.37085E-9,2.25282E-9,2.24318E-9
1.86209E3,3.52284E-9,2.34785E-9,2.22811E-9,2.21833E-9
1.81970E3,3.51179E-9,2.32517E-9,2.20369E-9,2.19375E-9
1.77828E3,3.50116E-9,2.30280E-9,2.17954E-9,2.16945E-9
1.73780E3,3.49096E-9,2.28074E-9,2.15567E-9,2.14542E-9
1.69824E3,3.48119E-9,2.25898E-9,2.13207E-9,2.12166E-9
1.65959E3,3.47185E-9,2.23753E-9,2.10874E-9,2.09817E-9
1.62181E3,3.46319E-9,2.21686E-9,2.08618E-9,2.07545E-9
1.58489E3,3.45473E-9,2.19601E-9,2.06337E-9,2.05247E-9
1.54882E3,3.44670E-9,2.17547E-9,2.04082E-9,2.02974E-9
1.51356E3,3.43912E-9,2.15522E-9,2.01853E-9,2.00727E-9
1.47911E3,3.43200E-9,2.13528E-9,1.99649E-9,1.98505E-9
1.44544E3,3.42532E-9,2.11563E-9,1.97471E-9,1.96308E-9
1.41254E3,3.41911E-9,2.09628E-9,1.95317E-9,1.94135E-9
1.38038E3,3.41337E-9,2.07723E-9,1.93188E-9,1.91986E-9
1.34896E3,3.40809E-9,2.05848E-9,1.91084E-9,1.89862E-9
1.31826E3,3.40329E-9,2.04002E-9,1.89004E-9,1.87761E-9
1.28825E3,3.39897E-9,2.02186E-9,1.86947E-9,1.85683E-9
1.25893E3,3.39514E-9,2.00399E-9,1.84915E-9,1.83629E-9
1.23027E3,3.39181E-9,1.98642E-9,1.82906E-9,1.81598E-9
1.20226E3,3.38899E-9,1.96914E-9,1.80921E-9,1.79589E-9
1.17490E3,3.38668E-9,1.95217E-9,1.78958E-9,1.77603E-9
1.14815E3,3.38489E-9,1.93548E-9,1.77019E-9,1.75639E-9
1.12202E3,3.38364E-9,1.91910E-9,1.75102E-9,1.73697E-9
1.09648E3,3.38293E-9,1.90302E-9,1.73208E-9,1.71777E-9
1.07152E3,3.38277E-9,1.88723E-9,1.71335E-9,1.69878E-9
1.04713E3,3.38317E-9,1.87174E-9,1.69485E-9,1.68001E-9
1.02329E3,3.38416E-9,1.85656E-9,1.67657E-9,1.66144E-9
1.00000E3,3.38566E-9,1.84133E-9,1.65810E-9,1.64267E-9
977.237,3.38784E-9,1.82677E-9,1.64026E-9,1.62453E-9
954.993,3.39064E-9,1.81251E-9,1.62263E-9,1.60659E-9
933.254,3.39407E-9,1.79855E-9,1.60521E-9,1.58885E-9
912.011,3.39814E-9,1.78492E-9,1.58800E-9,1.57131E-9
891.251,3.40287E-9,1.77159E-9,1.57100E-9,1.55396E-9
870.964,3.40828E-9,1.75859E-9,1.55421E-9,1.53681E-9
851.138,3.41438E-9,1.74591E-9,1.53762E-9,1.51986E-9
831.764,3.42120E-9,1.73355E-9,1.52124E-9,1.50309E-9
812.831,3.42875E-9,1.72152E-9,1.50506E-9,1.48652E-9
794.328,3.43705E-9,1.70983E-9,1.48908E-9,1.47013E-9
776.247,3.44612E-9,1.69847E-9,1.47331E-9,1.45393E-9
758.578,3.45598E-9,1.68746E-9,1.45773E-9,1.43791E-9
741.310,3.46665E-9,1.67679E-9,1.44235E-9,1.42207E-9
724.436,3.47816E-9,1.66648E-9,1.42716E-9,1.40641E-9
707.946,3.49053E-9,1.65652E-9,1.41218E-9,1.39093E-9
691.831,3.50378E-9,1.64693E-9,1.39739E-9,1.37562E-9
676.083,3.51794E-9,1.63772E-9,1.38279E-9,1.36049E-9
660.693,3.53304E-9,1.62888E-9,1.36839E-9,1.34554E-9
645.654,3.54910E-9,1.62042E-9,1.35418E-9,1.33075E-9
630.957,3.56615E-9,1.61236E-9,1.34016E-9,1.31613E-9
616.595,3.58421E-9,1.60470E-9,1.32634E-9,1.30168E-9
602.560,3.60333E-9,1.59745E-9,1.31271E-9,1.28740E-9
588.844,3.62352E-9,1.59062E-9,1.29927E-9,1.27328E-9
575.440,3.64481E-9,1.58422E-9,1.28603E-9,1.25932E-9
562.341,3.66725E-9,1.57825E-9,1.27297E-9,1.24552E-9
549.541,3.69087E-9,1.57273E-9,1.26011E-9,1.23188E-9
537.032,3.71568E-9,1.56766E-9,1.24744E-9,1.21840E-9
524.807,3.74175E-9,1.56307E-9,1.23497E-9,1.20508E-9
512.861,3.76908E-9,1.55895E-9,1.22268E-9,1.19191E-9
501.187,3.79774E-9,1.55532E-9,1.21059E-9,1.17890E-9
489.779,3.82774E-9,1.55220E-9,1.19870E-9,1.16604E-9
478.630,3.85913E-9,1.54959E-9,1.18700E-9,1.15332E-9
467.735,3.89195E-9,1.54750E-9,1.17550E-9,1.14076E-9
457.088,3.92624E-9,1.54596E-9,1.16420E-9,1.12835E-9
446.684,3.96203E-9,1.54497E-9,1.15309E-9,1.11608E-9
436.516,3.99938E-9,1.54455E-9,1.14219E-9,1.10396E-9
426.580,4.03832E-9,1.54471E-9,1.13149E-9,1.09199E-9
416.869,4.07889E-9,1.54547E-9,1.12100E-9,1.08016E-9
407.380,4.12115E-9,1.54684E-9,1.11071E-9,1.06847E-9
398.107,4.16513E-9,1.54883E-9,1.10064E-9,1.05692E-9
389.045,4.21088E-9,1.55147E-9,1.09077E-9,1.04551E-9
380.189,4.25845E-9,1.55476E-9,1.08112E-9,1.03424E-9
371.535,4.30789E-9,1.55873E-9,1.07169E-9,1.02311E-9
363.078,4.35924E-9,1.56338E-9,1.06248E-9,1.01212E-9
354.813,4.41255E-9,1.56875E-9,1.05349E-9,1.00126E-9
346.737,4.46788E-9,1.57484E-9,1.04473E-9,990.539E-12
338.844,4.52528E-9,1.58166E-9,1.03621E-9,979.953E-12
331.131,4.58480E-9,1.58925E-9,1.02792E-9,969.500E-12
323.594,4.64648E-9,1.59761E-9,1.01988E-9,959.181E-12
316.228,4.71040E-9,1.60676E-9,1.01208E-9,948.995E-12
309.030,4.77659E-9,1.61672E-9,1.00453E-9,938.941E-12
301.995,4.84512E-9,1.62751E-9,997.237E-12,929.019E-12
295.121,4.91605E-9,1.63914E-9,990.209E-12,919.227E-12
288.403,4.98860E-9,1.65155E-9,983.627E-12,909.786E-12
281.838,5.06446E-9,1.66492E-9,977.138E-12,900.253E-12
275.423,5.14290E-9,1.67919E-9,970.931E-12,890.850E-12
269.153,5.22397E-9,1.69438E-9,965.013E-12,881.576E-12
263.027,5.30775E-9,1.71050E-9,959.391E-12,872.432E-12
257.040,5.39428E-9,1.72758E-9,954.073E-12,863.417E-12
251.189,5.48364E-9,1.74564E-9,949.068E-12,854.532E-12
245.471,5.57590E-9,1.76469E-9,944.382E-12,845.776E-12
239.883,5.67112E-9,1.78475E-9,940.026E-12,837.150E-12
234.423,5.76937E-9,1.80584E-9,936.007E-12,828.654E-12
229.087,5.87073E-9,1.82798E-9,932.336E-12,820.287E-12
223.872,5.97527E-9,1.85120E-9,929.022E-12,812.052E-12
218.776,6.08306E-9,1.87550E-9,926.074E-12,803.947E-12
213.796,6.19417E-9,1.90092E-9,923.503E-12,795.973E-12
208.930,6.30869E-9,1.92747E-9,921.320E-12,788.132E-12
204.174,6.42670E-9,1.95516E-9,919.534E-12,780.424E-12
199.526,6.54827E-9,1.98404E-9,918.158E-12,772.850E-12
194.984,6.67350E-9,2.01410E-9,917.201E-12,765.411E-12
190.546,6.80245E-9,2.04539E-9,916.676E-12,758.108E-12
186.209,6.93524E-9,2.07791E-9,916.595E-12,750.942E-12
181.970,7.07193E-9,2.11169E-9,916.968E-12,743.915E-12
177.828,7.21263E-9,2.14675E-9,917.807E-12,737.029E-12
173.780,7.35742E-9,2.18313E-9,919.125E-12,730.285E-12
169.824,7.50641E-9,2.22083E-9,920.935E-12,723.684E-12
165.959,7.65970E-9,2.25989E-9,923.247E-12,717.230E-12
162.181,7.81738E-9,2.30033E-9,926.074E-12,710.924E-12
158.489,7.97955E-9,2.34218E-9,929.428E-12,704.769E-12
154.882,8.14633E-9,2.38547E-9,933.323E-12,698.766E-12
151.356,8.31783E-9,2.43022E-9,937.769E-12,692.920E-12
147.911,8.49416E-9,2.47645E-9,942.779E-12,687.232E-12
144.544,8.67542E-9,2.52421E-9,948.366E-12,681.706E-12
141.254,8.86175E-9,2.57352E-9,954.542E-12,676.345E-12
138.038,9.05327E-9,2.62440E-9,961.318E-12,671.153E-12
134.896,9.25009E-9,2.67690E-9,968.707E-12,666.133E-12
131.826,9.45234E-9,2.73104E-9,976.721E-12,661.290E-12
128.825,9.66017E-9,2.78686E-9,985.371E-12,656.627E-12
125.893,9.87370E-9,2.84440E-9,994.670E-12,652.148E-12
123.027,10.0931E-9,2.90368E-9,1.00463E-9,647.860E-12
120.226,10.3184E-9,2.96475E-9,1.01526E-9,643.765E-12
117.490,10.5499E-9,3.02765E-9,1.02658E-9,639.870E-12
114.815,10.7877E-9,3.09241E-9,1.03859E-9,636.180E-12
112.202,11.0319E-9,3.15907E-9,1.05130E-9,632.700E-12
109.648,11.2827E-9,3.22769E-9,1.06474E-9,629.436E-12
107.152,11.5403E-9,3.29829E-9,1.07890E-9,626.394E-12
104.713,11.8049E-9,3.37093E-9,1.09381E-9,623.581E-12
102.329,12.0765E-9,3.44565E-9,1.10947E-9,621.003E-12
100.000,12.3554E-9,3.52250E-9,1.12590E-9,618.666E-12
97.7237,12.6418E-9,3.60153E-9,1.14311E-9,616.579E-12
95.4993,12.9359E-9,3.68278E-9,1.16110E-9,614.747E-12
93.3254,13.2378E-9,3.76632E-9,1.17990E-9,613.179E-12
91.2011,13.5478E-9,3.85220E-9,1.19952E-9,611.881E-12
89.1251,13.8699E-9,3.94154E-9,1.22019E-9,610.798E-12
87.0964,14.1967E-9,4.03227E-9,1.24148E-9,610.072E-12
85.1138,14.5323E-9,4.12554E-9,1.26364E-9,609.640E-12
83.1764,14.8769E-9,4.22139E-9,1.28667E-9,609.511E-12
81.2831,15.2306E-9,4.31990E-9,1.31058E-9,609.695E-12
79.4328,15.5939E-9,4.42112E-9,1.33541E-9,610.200E-12
77.6247,15.9669E-9,4.52516E-9,1.36116E-9,611.035E-12
75.8578,16.3501E-9,4.63210E-9,1.38785E-9,612.209E-12
74.1310,16.7439E-9,4.74206E-9,1.41553E-9,613.733E-12
72.4436,17.1489E-9,4.85522E-9,1.44423E-9,615.619E-12
70.7946,17.5616E-9,4.97062E-9,1.47371E-9,617.897E-12
69.1831,17.9922E-9,5.09110E-9,1.50469E-9,620.549E-12
67.6083,18.4388E-9,5.21608E-9,1.53702E-9,623.624E-12
66.0693,18.9051E-9,5.34668E-9,1.57100E-9,627.169E-12
64.5654,19.3983E-9,5.48483E-9,1.60715E-9,631.266E-12
63.0957,19.9297E-9,5.63377E-9,1.64634E-9,636.056E-12
61.6595,20.5168E-9,5.79841E-9,1.68988E-9,641.771E-12
60.2560,21.1804E-9,5.98455E-9,1.73937E-9,648.728E-12
58.8844,21.9297E-9,6.19483E-9,1.79558E-9,657.180E-12
57.5440,22.7438E-9,6.42339E-9,1.85699E-9,667.033E-12
56.2341,23.5928E-9,6.66185E-9,1.92138E-9,678.000E-12
54.9541,24.4774E-9,6.91040E-9,1.98879E-9,690.108E-12
53.7032,25.4232E-9,7.17623E-9,2.06117E-9,703.739E-12
52.4807,26.4513E-9,7.46528E-9,2.14017E-9,719.269E-12
51.2861,27.5604E-9,7.77717E-9,2.22569E-9,736.723E-12
50.1187,28.6747E-9,8.09060E-9,2.31184E-9,754.765E-12
48.9779,29.7940E-9,8.40550E-9,2.39863E-9,773.510E-12
47.8630,30.9281E-9,8.72461E-9,2.48678E-9,793.066E-12
46.7735,32.0733E-9,9.04692E-9,2.57599E-9,813.334E-12
45.7088,33.2262E-9,9.37142E-9,2.66597E-9,834.206E-12
44.6684,34.3861E-9,9.69796E-9,2.75666E-9,855.628E-12
43.6516,35.5531E-9,10.0265E-9,2.84802E-9,877.559E-12
42.6580,36.7273E-9,10.3571E-9,2.94008E-9,899.971E-12
41.6869,37.9092E-9,10.6899E-9,3.03285E-9,922.841E-12
40.7380,39.0991E-9,11.0250E-9,3.12634E-9,946.148E-12
39.8107,40.2973E-9,11.3625E-9,3.22056E-9,969.872E-12
38.9045,41.5035E-9,11.7022E-9,3.31549E-9,993.993E-12
38.0189,42.7177E-9,12.0442E-9,3.41112E-9,1.01849E-9
37.1535,43.9394E-9,12.3883E-9,3.50741E-9,1.04332E-9
36.3078,45.1679E-9,12.7343E-9,3.60428E-9,1.06848E-9
35.4813,46.4022E-9,13.0821E-9,3.70168E-9,1.09392E-9
34.6737,47.6415E-9,13.4312E-9,3.79950E-9,1.11961E-9
33.8844,48.8843E-9,13.7813E-9,3.89765E-9,1.14552E-9
33.1131,50.1291E-9,14.1320E-9,3.99600E-9,1.17159E-9
32.3594,51.3745E-9,14.4828E-9,4.09443E-9,1.19778E-9
31.6228,52.6184E-9,14.8333E-9,4.19277E-9,1.22406E-9
30.9030,53.8591E-9,15.1829E-9,4.29089E-9,1.25036E-9
30.1995,55.0944E-9,15.5309E-9,4.38861E-9,1.27663E-9
29.5121,56.3222E-9,15.8769E-9,4.48576E-9,1.30282E-9
28.8403,57.5403E-9,16.2201E-9,4.58216E-9,1.32888E-9
28.1838,58.7465E-9,16.5599E-9,4.67764E-9,1.35475E-9
27.5423,59.9385E-9,16.8958E-9,4.77202E-9,1.38037E-9
26.9153,61.1142E-9,17.2271E-9,4.86512E-9,1.40570E-9
26.3027,62.2716E-9,17.5532E-9,4.95678E-9,1.43068E-9
25.7040,63.4086E-9,17.8736E-9,5.04685E-9,1.45527E-9
25.1189,64.5235E-9,18.1878E-9,5.13517E-9,1.47941E-9
24.5471,65.6147E-9,18.4953E-9,5.22163E-9,1.50308E-9
23.9883,66.6807E-9,18.7957E-9,5.30611E-9,1.52624E-9
23.4423,67.7204E-9,19.0886E-9,5.38850E-9,1.54885E-9
