freq (Hz),input noise; V / sqrt(Hz) dR 0  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 1  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 2  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 3  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 4  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 5  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 6  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 7  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 8  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 9  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 10  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 11  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 12  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 13  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 14  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 15  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 16  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 17  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 18  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 19  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 20  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 21  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 22  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 23  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 24  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 25  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 26  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 27  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 28  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 29  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 30  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 31  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 32  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 33  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 34  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 35  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 36  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 37  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 38  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 39  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 40  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 41  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 42  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 43  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 44  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 45  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 46  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 47  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 48  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 49  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 50  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 51  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 52  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 53  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 54  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 55  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 56  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 57  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 58  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 59  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 60  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 61  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 62  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 63  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 64  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 65  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 66  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 67  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 68  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 69  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 70  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 71  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 72  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 73  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 74  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 75  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 76  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 77  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 78  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 79  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 80  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 81  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 82  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 83  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 84  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 85  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 86  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 87  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 88  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 89  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 90  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 91  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 92  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 93  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 94  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 95  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 96  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 97  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 98  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 99  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 100  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 101  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 102  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 103  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 104  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 105  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 106  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 107  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 108  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 109  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 110  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 111  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 112  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 113  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 114  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 115  (V / sqrt(Hz))
10.0000,1.76597E-9,1.77661E-9,1.80832E-9,1.85999E-9,1.93000E-9,2.01641E-9,2.11719E-9,2.23037E-9,2.35414E-9,2.48691E-9,2.62728E-9,2.77409E-9,2.92635E-9,3.08324E-9,3.24407E-9,3.40827E-9,3.57536E-9,3.74494E-9,3.91667E-9,4.09027E-9,4.26551E-9,4.44217E-9,4.62009E-9,4.79911E-9,4.97911E-9,5.15996E-9,5.34159E-9,5.52389E-9,5.70680E-9,5.89026E-9,6.07420E-9,6.25858E-9,6.44335E-9,6.62847E-9,6.81390E-9,6.99962E-9,7.18559E-9,7.37179E-9,7.55820E-9,7.74479E-9,7.93154E-9,8.11844E-9,8.30548E-9,8.49263E-9,8.67989E-9,8.86724E-9,9.05467E-9,9.24218E-9,9.42975E-9,9.61737E-9,9.80503E-9,9.99274E-9,10.1805E-9,10.3682E-9,10.5560E-9,10.7438E-9,10.9316E-9,11.1194E-9,11.3072E-9,11.4951E-9,11.6829E-9,11.8706E-9,12.0584E-9,12.2462E-9,12.4339E-9,12.6216E-9,12.8093E-9,12.9970E-9,13.1846E-9,13.3722E-9,13.5598E-9,13.7473E-9,13.9348E-9,14.1222E-9,14.3096E-9,14.4970E-9,14.6843E-9,14.8716E-9,15.0588E-9,15.2460E-9,15.4331E-9,15.6201E-9,15.8072E-9,15.9941E-9,16.1810E-9,16.3679E-9,16.5547E-9,16.7415E-9,16.9281E-9,17.1148E-9,17.3013E-9,17.4879E-9,17.6743E-9,17.8607E-9,18.0470E-9,18.2333E-9,18.4195E-9,18.6056E-9,18.7917E-9,18.9777E-9,19.1637E-9,19.3496E-9,19.5354E-9,19.7212E-9,19.9068E-9,20.0925E-9,20.2780E-9,20.4635E-9,20.6489E-9,20.8343E-9,21.0196E-9,21.2048E-9,21.3899E-9,21.5750E-9,21.7600E-9,21.9450E-9
12.5893,1.63933E-9,1.64813E-9,1.67436E-9,1.71723E-9,1.77549E-9,1.84768E-9,1.93221E-9,2.02752E-9,2.13214E-9,2.24477E-9,2.36424E-9,2.48954E-9,2.61984E-9,2.75440E-9,2.89261E-9,3.03397E-9,3.17805E-9,3.32447E-9,3.47294E-9,3.62319E-9,3.77499E-9,3.92816E-9,4.08254E-9,4.23798E-9,4.39436E-9,4.55158E-9,4.70954E-9,4.86817E-9,5.02740E-9,5.18715E-9,5.34739E-9,5.50805E-9,5.66910E-9,5.83050E-9,5.99222E-9,6.15421E-9,6.31646E-9,6.47895E-9,6.64164E-9,6.80452E-9,6.96756E-9,7.13077E-9,7.29410E-9,7.45756E-9,7.62114E-9,7.78481E-9,7.94857E-9,8.11241E-9,8.27631E-9,8.44028E-9,8.60430E-9,8.76837E-9,8.93248E-9,9.09662E-9,9.26079E-9,9.42498E-9,9.58919E-9,9.75342E-9,9.91765E-9,10.0819E-9,10.2461E-9,10.4104E-9,10.5746E-9,10.7388E-9,10.9030E-9,11.0672E-9,11.2314E-9,11.3956E-9,11.5597E-9,11.7238E-9,11.8879E-9,12.0520E-9,12.2160E-9,12.3800E-9,12.5440E-9,12.7079E-9,12.8718E-9,13.0357E-9,13.1995E-9,13.3633E-9,13.5270E-9,13.6907E-9,13.8544E-9,14.0180E-9,14.1816E-9,14.3451E-9,14.5086E-9,14.6720E-9,14.8354E-9,14.9988E-9,15.1621E-9,15.3253E-9,15.4885E-9,15.6516E-9,15.8147E-9,15.9778E-9,16.1407E-9,16.3037E-9,16.4666E-9,16.6294E-9,16.7921E-9,16.9549E-9,17.1175E-9,17.2801E-9,17.4427E-9,17.6052E-9,17.7676E-9,17.9300E-9,18.0923E-9,18.2545E-9,18.4167E-9,18.5789E-9,18.7410E-9,18.9030E-9,19.0649E-9,19.2269E-9
15.8489,1.53270E-9,1.53991E-9,1.56147E-9,1.59677E-9,1.64491E-9,1.70480E-9,1.77522E-9,1.85495E-9,1.94285E-9,2.03783E-9,2.13894E-9,2.24534E-9,2.35630E-9,2.47120E-9,2.58949E-9,2.71073E-9,2.83452E-9,2.96054E-9,3.08850E-9,3.21817E-9,3.34933E-9,3.48181E-9,3.61545E-9,3.75013E-9,3.88573E-9,4.02215E-9,4.15929E-9,4.29710E-9,4.43549E-9,4.57440E-9,4.71380E-9,4.85362E-9,4.99382E-9,5.13438E-9,5.27525E-9,5.41641E-9,5.55783E-9,5.69948E-9,5.84135E-9,5.98341E-9,6.12564E-9,6.26803E-9,6.41057E-9,6.55324E-9,6.69602E-9,6.83891E-9,6.98190E-9,7.12497E-9,7.26812E-9,7.41134E-9,7.55462E-9,7.69795E-9,7.84133E-9,7.98475E-9,8.12821E-9,8.27170E-9,8.41522E-9,8.55876E-9,8.70231E-9,8.84588E-9,8.98946E-9,9.13304E-9,9.27663E-9,9.42021E-9,9.56380E-9,9.70738E-9,9.85095E-9,9.99451E-9,10.1381E-9,10.2816E-9,10.4251E-9,10.5686E-9,10.7121E-9,10.8555E-9,10.9990E-9,11.1424E-9,11.2857E-9,11.4291E-9,11.5724E-9,11.7157E-9,11.8590E-9,12.0022E-9,12.1454E-9,12.2885E-9,12.4317E-9,12.5748E-9,12.7178E-9,12.8608E-9,13.0038E-9,13.1467E-9,13.2896E-9,13.4325E-9,13.5753E-9,13.7180E-9,13.8608E-9,14.0034E-9,14.1461E-9,14.2887E-9,14.4312E-9,14.5737E-9,14.7162E-9,14.8586E-9,15.0009E-9,15.1432E-9,15.2855E-9,15.4277E-9,15.5699E-9,15.7120E-9,15.8541E-9,15.9961E-9,16.1381E-9,16.2800E-9,16.4219E-9,16.5637E-9,16.7055E-9,16.8472E-9
19.9526,1.44353E-9,1.44940E-9,1.46698E-9,1.49584E-9,1.53533E-9,1.58464E-9,1.64288E-9,1.70911E-9,1.78243E-9,1.86201E-9,1.94704E-9,2.03685E-9,2.13082E-9,2.22841E-9,2.32916E-9,2.43266E-9,2.53857E-9,2.64660E-9,2.75648E-9,2.86799E-9,2.98095E-9,3.09519E-9,3.21056E-9,3.32695E-9,3.44423E-9,3.56232E-9,3.68114E-9,3.80060E-9,3.92065E-9,4.04123E-9,4.16228E-9,4.28376E-9,4.40563E-9,4.52785E-9,4.65040E-9,4.77324E-9,4.89634E-9,5.01969E-9,5.14325E-9,5.26701E-9,5.39096E-9,5.51508E-9,5.63934E-9,5.76374E-9,5.88827E-9,6.01292E-9,6.13766E-9,6.26250E-9,6.38743E-9,6.51243E-9,6.63751E-9,6.76264E-9,6.88783E-9,7.01307E-9,7.13836E-9,7.26369E-9,7.38905E-9,7.51443E-9,7.63985E-9,7.76529E-9,7.89074E-9,8.01621E-9,8.14169E-9,8.26718E-9,8.39267E-9,8.51817E-9,8.64367E-9,8.76916E-9,8.89465E-9,9.02013E-9,9.14561E-9,9.27107E-9,9.39652E-9,9.52196E-9,9.64738E-9,9.77279E-9,9.89817E-9,10.0235E-9,10.1489E-9,10.2742E-9,10.3995E-9,10.5248E-9,10.6500E-9,10.7753E-9,10.9005E-9,11.0256E-9,11.1508E-9,11.2759E-9,11.4009E-9,11.5260E-9,11.6510E-9,11.7760E-9,11.9009E-9,12.0258E-9,12.1507E-9,12.2755E-9,12.4003E-9,12.5251E-9,12.6498E-9,12.7745E-9,12.8992E-9,13.0238E-9,13.1484E-9,13.2729E-9,13.3974E-9,13.5219E-9,13.6463E-9,13.7707E-9,13.8950E-9,14.0193E-9,14.1435E-9,14.2678E-9,14.3919E-9,14.5160E-9,14.6401E-9,14.7642E-9
25.1189,1.36949E-9,1.37424E-9,1.38847E-9,1.41188E-9,1.44403E-9,1.48432E-9,1.53211E-9,1.58671E-9,1.64742E-9,1.71360E-9,1.78462E-9,1.85992E-9,1.93898E-9,2.02137E-9,2.10669E-9,2.19457E-9,2.28473E-9,2.37689E-9,2.47082E-9,2.56633E-9,2.66323E-9,2.76137E-9,2.86062E-9,2.96087E-9,3.06200E-9,3.16394E-9,3.26659E-9,3.36989E-9,3.47377E-9,3.57819E-9,3.68308E-9,3.78841E-9,3.89414E-9,4.00023E-9,4.10664E-9,4.21336E-9,4.32035E-9,4.42758E-9,4.53505E-9,4.64273E-9,4.75059E-9,4.85864E-9,4.96684E-9,5.07519E-9,5.18368E-9,5.29229E-9,5.40101E-9,5.50983E-9,5.61875E-9,5.72775E-9,5.83684E-9,5.94599E-9,6.05521E-9,6.16449E-9,6.27382E-9,6.38320E-9,6.49262E-9,6.60208E-9,6.71157E-9,6.82109E-9,6.93064E-9,7.04021E-9,7.14981E-9,7.25941E-9,7.36903E-9,7.47867E-9,7.58831E-9,7.69795E-9,7.80760E-9,7.91725E-9,8.02690E-9,8.13655E-9,8.24619E-9,8.35583E-9,8.46546E-9,8.57508E-9,8.68468E-9,8.79428E-9,8.90386E-9,9.01343E-9,9.12298E-9,9.23251E-9,9.34203E-9,9.45153E-9,9.56100E-9,9.67046E-9,9.77989E-9,9.88930E-9,9.99869E-9,10.1081E-9,10.2174E-9,10.3267E-9,10.4360E-9,10.5452E-9,10.6545E-9,10.7637E-9,10.8728E-9,10.9820E-9,11.0911E-9,11.2002E-9,11.3092E-9,11.4183E-9,11.5272E-9,11.6362E-9,11.7451E-9,11.8540E-9,11.9629E-9,12.0717E-9,12.1805E-9,12.2892E-9,12.3980E-9,12.5066E-9,12.6153E-9,12.7239E-9,12.8325E-9,12.9410E-9
31.6228,1.30844E-9,1.31224E-9,1.32368E-9,1.34254E-9,1.36851E-9,1.40119E-9,1.44010E-9,1.48475E-9,1.53463E-9,1.58924E-9,1.64810E-9,1.71076E-9,1.77682E-9,1.84590E-9,1.91767E-9,1.99184E-9,2.06813E-9,2.14631E-9,2.22619E-9,2.30757E-9,2.39031E-9,2.47425E-9,2.55928E-9,2.64528E-9,2.73216E-9,2.81984E-9,2.90823E-9,2.99726E-9,3.08689E-9,3.17705E-9,3.26770E-9,3.35879E-9,3.45029E-9,3.54215E-9,3.63435E-9,3.72686E-9,3.81966E-9,3.91272E-9,4.00601E-9,4.09952E-9,4.19324E-9,4.28714E-9,4.38121E-9,4.47544E-9,4.56981E-9,4.66432E-9,4.75895E-9,4.85369E-9,4.94853E-9,5.04347E-9,5.13850E-9,5.23361E-9,5.32880E-9,5.42405E-9,5.51936E-9,5.61473E-9,5.71015E-9,5.80562E-9,5.90113E-9,5.99667E-9,6.09226E-9,6.18787E-9,6.28351E-9,6.37918E-9,6.47486E-9,6.57057E-9,6.66629E-9,6.76203E-9,6.85777E-9,6.95353E-9,7.04929E-9,7.14506E-9,7.24083E-9,7.33660E-9,7.43237E-9,7.52814E-9,7.62390E-9,7.71966E-9,7.81542E-9,7.91116E-9,8.00690E-9,8.10263E-9,8.19834E-9,8.29405E-9,8.38974E-9,8.48541E-9,8.58107E-9,8.67672E-9,8.77235E-9,8.86796E-9,8.96355E-9,9.05912E-9,9.15467E-9,9.25021E-9,9.34572E-9,9.44121E-9,9.53667E-9,9.63212E-9,9.72754E-9,9.82294E-9,9.91831E-9,10.0137E-9,10.1090E-9,10.2043E-9,10.2995E-9,10.3948E-9,10.4900E-9,10.5852E-9,10.6804E-9,10.7755E-9,10.8706E-9,10.9657E-9,11.0607E-9,11.1557E-9,11.2507E-9,11.3457E-9
39.8107,1.25842E-9,1.26146E-9,1.27059E-9,1.28568E-9,1.30651E-9,1.33280E-9,1.36424E-9,1.40047E-9,1.44112E-9,1.48582E-9,1.53422E-9,1.58595E-9,1.64072E-9,1.69821E-9,1.75815E-9,1.82029E-9,1.88442E-9,1.95032E-9,2.01783E-9,2.08678E-9,2.15703E-9,2.22844E-9,2.30092E-9,2.37435E-9,2.44865E-9,2.52373E-9,2.59953E-9,2.67598E-9,2.75302E-9,2.83060E-9,2.90867E-9,2.98720E-9,3.06614E-9,3.14546E-9,3.22512E-9,3.30511E-9,3.38539E-9,3.46594E-9,3.54674E-9,3.62778E-9,3.70902E-9,3.79047E-9,3.87209E-9,3.95388E-9,4.03583E-9,4.11792E-9,4.20015E-9,4.28249E-9,4.36496E-9,4.44752E-9,4.53019E-9,4.61294E-9,4.69578E-9,4.77870E-9,4.86168E-9,4.94473E-9,5.02785E-9,5.11102E-9,5.19424E-9,5.27750E-9,5.36081E-9,5.44416E-9,5.52755E-9,5.61096E-9,5.69441E-9,5.77788E-9,5.86138E-9,5.94490E-9,6.02844E-9,6.11199E-9,6.19556E-9,6.27914E-9,6.36273E-9,6.44633E-9,6.52993E-9,6.61354E-9,6.69716E-9,6.78077E-9,6.86439E-9,6.94800E-9,7.03162E-9,7.11523E-9,7.19883E-9,7.28243E-9,7.36603E-9,7.44961E-9,7.53319E-9,7.61676E-9,7.70031E-9,7.78386E-9,7.86739E-9,7.95091E-9,8.03442E-9,8.11791E-9,8.20139E-9,8.28485E-9,8.36830E-9,8.45173E-9,8.53514E-9,8.61853E-9,8.70191E-9,8.78527E-9,8.86860E-9,8.95192E-9,9.03522E-9,9.11850E-9,9.20175E-9,9.28499E-9,9.36820E-9,9.45139E-9,9.53455E-9,9.61770E-9,9.70082E-9,9.78392E-9,9.86699E-9,9.95004E-9
50.1187,1.21770E-9,1.22011E-9,1.22735E-9,1.23934E-9,1.25593E-9,1.27695E-9,1.30217E-9,1.33134E-9,1.36420E-9,1.40050E-9,1.43996E-9,1.48233E-9,1.52736E-9,1.57482E-9,1.62449E-9,1.67616E-9,1.72966E-9,1.78482E-9,1.84148E-9,1.89950E-9,1.95877E-9,2.01916E-9,2.08057E-9,2.14292E-9,2.20611E-9,2.27009E-9,2.33477E-9,2.40010E-9,2.46603E-9,2.53249E-9,2.59946E-9,2.66689E-9,2.73474E-9,2.80298E-9,2.87158E-9,2.94051E-9,3.00975E-9,3.07927E-9,3.14905E-9,3.21907E-9,3.28932E-9,3.35978E-9,3.43043E-9,3.50126E-9,3.57225E-9,3.64340E-9,3.71470E-9,3.78613E-9,3.85768E-9,3.92935E-9,4.00113E-9,4.07300E-9,4.14498E-9,4.21703E-9,4.28917E-9,4.36139E-9,4.43367E-9,4.50602E-9,4.57842E-9,4.65089E-9,4.72340E-9,4.79597E-9,4.86857E-9,4.94122E-9,5.01391E-9,5.08663E-9,5.15938E-9,5.23216E-9,5.30497E-9,5.37780E-9,5.45065E-9,5.52352E-9,5.59641E-9,5.66932E-9,5.74224E-9,5.81517E-9,5.88811E-9,5.96106E-9,6.03402E-9,6.10698E-9,6.17995E-9,6.25292E-9,6.32589E-9,6.39886E-9,6.47184E-9,6.54481E-9,6.61778E-9,6.69074E-9,6.76371E-9,6.83666E-9,6.90961E-9,6.98256E-9,7.05549E-9,7.12842E-9,7.20134E-9,7.27425E-9,7.34715E-9,7.42003E-9,7.49291E-9,7.56577E-9,7.63862E-9,7.71146E-9,7.78428E-9,7.85709E-9,7.92989E-9,8.00266E-9,8.07543E-9,8.14817E-9,8.22090E-9,8.29362E-9,8.36631E-9,8.43899E-9,8.51165E-9,8.58430E-9,8.65692E-9,8.72953E-9
63.0957,1.18473E-9,1.18662E-9,1.19234E-9,1.20181E-9,1.21495E-9,1.23164E-9,1.25172E-9,1.27504E-9,1.30141E-9,1.33065E-9,1.36257E-9,1.39699E-9,1.43371E-9,1.47256E-9,1.51338E-9,1.55600E-9,1.60028E-9,1.64608E-9,1.69327E-9,1.74174E-9,1.79137E-9,1.84208E-9,1.89378E-9,1.94637E-9,1.99979E-9,2.05397E-9,2.10885E-9,2.16437E-9,2.22049E-9,2.27715E-9,2.33431E-9,2.39194E-9,2.45000E-9,2.50845E-9,2.56728E-9,2.62644E-9,2.68592E-9,2.74570E-9,2.80575E-9,2.86605E-9,2.92659E-9,2.98734E-9,3.04831E-9,3.10946E-9,3.17079E-9,3.23229E-9,3.29395E-9,3.35575E-9,3.41768E-9,3.47974E-9,3.54192E-9,3.60421E-9,3.66661E-9,3.72910E-9,3.79168E-9,3.85434E-9,3.91709E-9,3.97991E-9,4.04279E-9,4.10575E-9,4.16876E-9,4.23183E-9,4.29495E-9,4.35812E-9,4.42134E-9,4.48460E-9,4.54789E-9,4.61123E-9,4.67460E-9,4.73800E-9,4.80143E-9,4.86489E-9,4.92837E-9,4.99187E-9,5.05539E-9,5.11894E-9,5.18250E-9,5.24607E-9,5.30966E-9,5.37327E-9,5.43688E-9,5.50050E-9,5.56413E-9,5.62777E-9,5.69141E-9,5.75506E-9,5.81871E-9,5.88237E-9,5.94602E-9,6.00968E-9,6.07333E-9,6.13699E-9,6.20064E-9,6.26429E-9,6.32794E-9,6.39158E-9,6.45522E-9,6.51885E-9,6.58248E-9,6.64610E-9,6.70971E-9,6.77331E-9,6.83691E-9,6.90049E-9,6.96407E-9,7.02763E-9,7.09119E-9,7.15473E-9,7.21827E-9,7.28179E-9,7.34529E-9,7.40879E-9,7.47227E-9,7.53574E-9,7.59920E-9,7.66264E-9
79.4328,1.15816E-9,1.15964E-9,1.16413E-9,1.17157E-9,1.18192E-9,1.19509E-9,1.21099E-9,1.22951E-9,1.25052E-9,1.27390E-9,1.29953E-9,1.32725E-9,1.35695E-9,1.38850E-9,1.42176E-9,1.45662E-9,1.49296E-9,1.53068E-9,1.56966E-9,1.60982E-9,1.65108E-9,1.69333E-9,1.73652E-9,1.78056E-9,1.82540E-9,1.87098E-9,1.91723E-9,1.96412E-9,2.01159E-9,2.05960E-9,2.10811E-9,2.15709E-9,2.20650E-9,2.25632E-9,2.30651E-9,2.35704E-9,2.40791E-9,2.45908E-9,2.51053E-9,2.56224E-9,2.61420E-9,2.66639E-9,2.71880E-9,2.77141E-9,2.82421E-9,2.87718E-9,2.93032E-9,2.98362E-9,3.03707E-9,3.09065E-9,3.14436E-9,3.19819E-9,3.25213E-9,3.30618E-9,3.36033E-9,3.41458E-9,3.46891E-9,3.52333E-9,3.57783E-9,3.63239E-9,3.68703E-9,3.74174E-9,3.79650E-9,3.85132E-9,3.90620E-9,3.96112E-9,4.01610E-9,4.07111E-9,4.12617E-9,4.18127E-9,4.23641E-9,4.29158E-9,4.34678E-9,4.40201E-9,4.45726E-9,4.51255E-9,4.56786E-9,4.62318E-9,4.67853E-9,4.73390E-9,4.78929E-9,4.84469E-9,4.90011E-9,4.95553E-9,5.01098E-9,5.06643E-9,5.12189E-9,5.17736E-9,5.23283E-9,5.28832E-9,5.34380E-9,5.39930E-9,5.45479E-9,5.51029E-9,5.56579E-9,5.62129E-9,5.67680E-9,5.73230E-9,5.78780E-9,5.84330E-9,5.89879E-9,5.95429E-9,6.00978E-9,6.06526E-9,6.12074E-9,6.17622E-9,6.23169E-9,6.28715E-9,6.34261E-9,6.39806E-9,6.45350E-9,6.50893E-9,6.56436E-9,6.61978E-9,6.67518E-9,6.73058E-9
